"Team","GP","W","L","AGT","K","D","KD","CKPM","FB%","FT%","DRG%","BN%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",42,20,22,33.9,492,525,0.94,0.71,"60%","43%","49%","53%","50.0%",3.63,1.31,1.75
"Dominus Esports",35,14,21,32.3,425,460,0.92,0.78,"54%","37%","51%","44%","50.6%",3.1,1.24,1.55
"EDward Gaming",40,22,18,33.7,543,433,1.25,0.72,"67%","54%","49%","55%","49.1%",3.37,1.52,1.6
"eStar",37,23,14,34.4,642,480,1.34,0.88,"54%","57%","60%","69%","50.7%",3.82,1.55,1.89
"FunPlus Phoenix",40,27,13,31.8,606,427,1.42,0.81,"45%","65%","57%","60%","51.7%",3.58,1.41,1.53
"Invictus Gaming",39,28,11,29.6,638,594,1.07,1.07,"38%","51%","47%","61%","54.5%",3.16,1.07,1.6
"JD Gaming",36,26,10,31.7,526,339,1.55,0.76,"58%","56%","56%","75%","54.2%",3.33,1.21,1.68
"LGD Gaming",38,15,23,33,491,591,0.83,0.86,"57%","46%","46%","41%","49.5%",3.45,1.34,1.68
"LNG Esports",41,15,26,32.3,462,599,0.77,0.8,"44%","49%","51%","34%","48.1%",3.16,1.09,1.61
"Oh My God",38,17,21,31.2,396,477,0.83,0.73,"37%","50%","42%","50%","50.1%",3.14,1.13,1.43
"Rogue Warriors",40,18,22,32.9,558,645,0.87,0.91,"47%","37%","44%","45%","46.7%",3.11,1.17,1.6
"Royal Never Give Up",38,20,18,33.8,503,444,1.13,0.74,"47%","47%","52%","45%","49.4%",3.73,1.41,1.73
"Suning",41,19,22,33.1,565,606,0.93,0.86,"44%","44%","46%","45%","50.8%",4.01,1.42,1.59
"Team WE",41,21,20,31,593,557,1.06,0.9,"63%","65%","55%","54%","48.4%",3.3,1.36,1.62
"Top Esports",37,23,14,33.2,575,486,1.18,0.86,"44%","64%","52%","64%","53.4%",3.41,1.32,1.51
"Vici Gaming",43,22,21,32.9,509,529,0.96,0.73,"43%","45%","55%","37%","50.0%",3.35,1.35,1.64
"Victory Five",33,1,32,30.2,287,653,0.44,0.94,"48%","36%","32%","6%","42.4%",2.96,1.23,1.22
