"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",19,"9.1%","28.4%","63.9%","58%","21%",29,27,93,4.5,"65.2%","18.5%","37%",24,178,1.6,5.8,"15.6%",256,"14.8%","17.6%",0.5,0.5
"Aatrox","Middle",8,"3.8%","28.4%","63.9%","50%","63%",22,20,28,2.5,"55.6%","22.5%","13%",60,-16,-5.9,8.2,"23.4%",333,"23.2%","21.2%",0.55,0.22
"Aatrox","Top",47,"22.6%","28.4%","63.9%","47%","40%",89,82,153,3,"53.0%","17.0%","13%",-19,88,0.9,9.1,"26.2%",351,"22.8%","22.9%",0.5,0.2
"Ahri","Middle",1,"0.5%","0.0%","0.5%","0%","100%",0,0,1,1,"100.0%","0.0%","0%",-190,-571,-4,8.4,"24.1%",305,"29.3%","21.2%",0.49,0.23
"Akali","Middle",21,"10.1%","19.7%","38.9%","67%","33%",82,29,94,6.1,"64.2%","16.3%","14%",86,109,4.6,9.2,"24.3%",378,"23.3%","23.1%",0.39,0.26
"Akali","Top",19,"9.1%","19.7%","38.9%","42%","32%",55,47,70,2.7,"55.6%","16.8%","11%",-158,-50,-3.1,8.4,"25.9%",371,"21.5%","22.4%",0.52,0.15
"Alistar","Support",56,"26.9%","18.8%","45.7%","43%","57%",20,140,304,2.3,"65.3%","24.1%","25%",-57,-71,0.6,1.7,"5.5%",92,"6.5%","10.3%",1.6,0.32
"Anivia","Middle",1,"0.5%","0.0%","0.5%","0%","100%",0,1,1,1,"50.0%","7.1%","0%",230,203,7,10.6,"34.5%",152,"19.4%","29.9%",0.59,0.21
"Annie","Jungle",1,"0.5%","0.0%","0.5%","100%","100%",2,2,9,5.5,"73.3%","22.2%","0%",-666,-354,22,4.6,"14.8%",275,"14.0%","15.5%",1.07,0.3
"Ashe","ADC",28,"13.5%","6.3%","19.7%","64%","82%",102,42,157,6.2,"76.2%","16.2%","18%",-58,-7,-0.6,10.2,"31.1%",539,"30.4%","26.3%",0.4,0.51
"Aurelion Sol","Middle",5,"2.4%","1.4%","3.8%","40%","80%",11,13,19,2.3,"68.2%","21.0%","20%",-91,-130,-8.4,8.2,"24.0%",364,"25.6%","23.4%",0.55,0.26
"Azir","Middle",8,"3.8%","2.9%","6.7%","38%","100%",17,12,28,3.8,"60.8%","13.6%","13%",-50,-155,-6.5,9.7,"28.9%",399,"26.6%","25.4%",0.62,0.39
"Bard","Support",3,"1.4%","1.0%","2.4%","67%","100%",1,6,24,4.2,"62.5%","18.2%","0%",11,77,-12.3,1,"4.4%",196,"10.2%","10.2%",2.39,0.77
"Blitzcrank","Support",2,"1.0%","0.0%","1.0%","50%","100%",2,5,15,3.4,"77.3%","22.7%","50%",258,-150,-0.5,1.6,"5.7%",122,"7.7%","10.2%",1.49,0.32
"Braum","Support",80,"38.5%","19.2%","57.7%","45%","58%",38,187,582,3.3,"73.9%","21.7%","21%",-47,-49,2.6,2.1,"7.1%",115,"7.2%","11.9%",1.72,0.32
"Caitlyn","ADC",2,"1.0%","0.0%","1.0%","0%","100%",5,6,7,2,"75.0%","20.7%","0%",-77,-153,0.5,10.6,"33.5%",495,"26.9%","30.2%",0.42,0.5
"Camille","ADC",3,"1.4%","15.4%","25.0%","33%","67%",8,10,12,2,"76.9%","25.6%","67%",-346,-96,-39,4.7,"14.3%",198,"11.6%","18.8%",0.29,0.52
"Camille","Jungle",13,"6.3%","15.4%","25.0%","54%","46%",38,31,48,2.8,"63.2%","21.7%","46%",109,-44,2.2,5.4,"15.1%",213,"11.8%","17.4%",0.35,0.55
"Camille","Top",4,"1.9%","15.4%","25.0%","50%","100%",10,16,15,1.6,"62.5%","40.0%","50%",-461,-433,-17.3,7.7,"24.1%",335,"21.1%","22.8%",0.5,0.19
"Cassiopeia","ADC",8,"3.8%","34.1%","41.3%","38%","0%",22,20,22,2.2,"55.0%","18.7%","13%",-12,-165,3.4,9,"28.5%",368,"24.2%","25.2%",0.47,0.23
"Cassiopeia","Middle",6,"2.9%","34.1%","41.3%","50%","50%",7,14,18,1.8,"67.6%","20.0%","0%",48,-176,11.5,9,"24.6%",361,"26.4%","22.7%",0.5,0.18
"Cassiopeia","Top",1,"0.5%","34.1%","41.3%","0%","0%",0,1,1,1,"14.3%","12.5%","0%",233,437,8,8.5,"24.7%",255,"20.4%","20.6%",0.47,0.26
"Corki","Middle",9,"4.3%","2.4%","6.7%","33%","89%",23,9,12,3.9,"58.3%","9.5%","0%",-5,-28,-1.9,10.5,"29.5%",526,"37.2%","27.1%",0.58,0.34
"Darius","ADC",1,"0.5%","1.9%","3.8%","100%","100%",4,1,3,7,"30.4%","25.0%","0%",30,-164,6,8.5,"26.2%",254,"13.1%","20.9%",0.37,0.22
"Darius","Top",3,"1.4%","1.9%","3.8%","67%","100%",8,6,11,3.2,"70.4%","23.1%","33%",410,480,13.7,8.9,"23.9%",293,"19.0%","24.6%",0.47,0.16
"Draven","ADC",11,"5.3%","6.7%","12.0%","64%","91%",34,17,49,4.9,"64.8%","15.6%","27%",162,-13,-2.7,9.7,"29.5%",432,"25.0%","27.1%",0.41,0.31
"Elise","Jungle",17,"8.2%","6.7%","15.4%","53%","71%",38,39,98,3.5,"74.3%","22.7%","59%",-149,-102,-7.8,4.9,"13.4%",334,"18.9%","16.5%",1.18,0.61
"Elise","Support",1,"0.5%","6.7%","15.4%","100%","100%",2,4,10,3,"63.2%","66.7%","0%",564,-486,12,1.9,"5.3%",143,"6.3%","13.5%",1.32,0.39
"Evelynn","Jungle",2,"1.0%","1.0%","1.9%","100%","100%",9,3,8,5.7,"73.9%","23.1%","0%",808,1289,24,7,"15.2%",399,"30.7%","19.8%",0.79,0.35
