"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"7.7%","61.5%","100.0%","0%","0%",0,4,1,0.3,"25.0%","19.0%","0%",-103,424,-4,8.5,"25.5%",326,"24.7%","21.9%",0.52,0.21
"Aatrox","Top",4,"30.8%","61.5%","100.0%","50%","0%",14,10,21,3.5,"53.8%","25.0%","0%",-114,78,-1,8,"23.1%",454,"24.4%","22.3%",0.56,0.18
"Akali","Middle",3,"23.1%","61.5%","100.0%","67%","0%",12,4,12,6,"57.1%","21.1%","0%",-83,48,-1.7,9.6,"25.7%",437,"25.8%","23.8%",0.53,0.17
"Akali","Top",2,"15.4%","61.5%","100.0%","100%","0%",9,0,9,18,"58.1%","0.0%","50%",167,305,6,9.2,"23.3%",385,"19.6%","22.1%",0.56,0.16
"Alistar","Support",3,"23.1%","7.7%","30.8%","33%","100%",1,16,19,1.3,"51.3%","30.8%","67%",7,157,8,1.7,"5.7%",86,"4.2%","8.5%",1.78,0.27
"Ashe","ADC",1,"7.7%","0.0%","7.7%","0%","100%",0,2,1,0.5,"50.0%","25.0%","0%",-74,364,21,11.8,"29.0%",329,"22.3%","25.9%",0.33,0.81
"Azir","Middle",2,"15.4%","46.2%","61.5%","50%","50%",5,4,7,3,"44.4%","16.0%","0%",-36,-98,7,9.9,"32.2%",454,"23.1%","25.6%",0.41,0.36
"Braum","Support",4,"30.8%","15.4%","46.2%","50%","50%",1,7,22,3.3,"67.6%","17.1%","0%",-9,-172,2.5,2.3,"7.4%",111,"7.0%","11.7%",1.93,0.44
"Camille","Top",2,"15.4%","7.7%","23.1%","50%","0%",4,8,5,1.1,"50.0%","30.8%","50%",-27,163,10.5,8.4,"25.3%",316,"21.5%","21.2%",0.5,0.2
"Corki","Middle",1,"7.7%","0.0%","7.7%","0%","0%",1,3,3,1.3,"80.0%","11.1%","0%",-229,-12,-5,9.3,"28.4%",318,"20.1%","25.5%",0.4,0.18
"Draven","ADC",3,"23.1%","0.0%","23.1%","33%","100%",12,6,7,3.2,"70.4%","14.3%","0%",-210,-68,-9,9.4,"31.0%",372,"28.1%","30.9%",0.5,0.36
"Ekko","Middle",1,"7.7%","0.0%","7.7%","100%","100%",7,2,4,5.5,"68.8%","20.0%","0%",-423,-84,-3,7.7,"21.0%",633,"27.7%","22.1%",0.51,0.09
"Elise","Jungle",6,"46.2%","7.7%","53.8%","83%","33%",19,8,41,7.5,"58.8%","27.6%","67%",381,328,3.5,5.8,"14.6%",362,"18.5%","17.5%",1.17,0.48
"Ezreal","ADC",6,"46.2%","23.1%","69.2%","50%","33%",12,6,18,5,"63.8%","10.9%","0%",34,-43,-4.5,10.9,"31.4%",633,"38.6%","27.6%",0.48,0.47
"Fiora","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Top",3,"23.1%","0.0%","23.1%","0%","67%",3,16,9,0.8,"75.0%","28.6%","33%",-785,-412,-8.3,8.5,"25.1%",612,"34.4%","24.9%",0.57,0.22
"Gragas","Jungle",1,"7.7%","15.4%","23.1%","0%","0%",1,6,5,1,"66.7%","28.6%","100%",148,485,9,5.6,"15.2%",290,"12.8%","15.9%",0.38,0.57
"Irelia","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",2,"15.4%","0.0%","15.4%","0%","100%",1,5,10,2.2,"68.8%","13.5%","0%",-114,-190,-4,4.3,"12.2%",139,"7.9%","13.3%",0.49,0.71
"Jax","Top",1,"7.7%","0.0%","7.7%","100%","100%",4,4,13,4.3,"70.8%","40.0%","0%",393,-101,-7,7.1,"25.5%",300,"15.5%","21.4%",0.64,0.08
"Jayce","Top",3,"23.1%","30.8%","53.8%","33%","67%",6,12,13,1.6,"73.1%","27.3%","0%",356,288,8.7,8.7,"24.6%",501,"29.6%","23.7%",0.43,0.41
"Kai'Sa","ADC",5,"38.5%","23.1%","61.5%","60%","20%",22,6,25,7.8,"50.5%","11.3%","0%",239,131,2.6,10.2,"33.3%",430,"24.0%","27.3%",0.34,0.29
"Kalista","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Middle",1,"7.7%","38.5%","69.2%","0%","100%",3,3,7,3.3,"100.0%","15.8%","0%",-210,-368,-7,7.4,"23.5%",462,"23.0%","22.7%",0.63,0.27
"Karma","Support",1,"7.7%","38.5%","69.2%","100%","100%",1,1,9,10,"62.5%","10.0%","0%",-25,70,-4,0.7,"2.8%",275,"12.0%","11.1%",1.45,0.42
"Karma","Top",2,"15.4%","38.5%","69.2%","0%","100%",2,11,4,0.5,"54.5%","21.6%","0%",-210,-596,-5.5,7.6,"23.5%",612,"34.6%","22.5%",0.68,0.25
"Karthus","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",1,"7.7%","7.7%","15.4%","100%","100%",5,3,6,3.7,"52.4%","42.9%","0%",175,-229,-10,8.9,"26.7%",625,"33.8%","22.2%",0.61,0.38
"Kennen","Top",1,"7.7%","53.8%","61.5%","0%","100%",0,4,1,0.3,"50.0%","57.1%","0%",-597,-495,-11,8.3,"21.9%",160,"14.3%","19.0%",0.43,0.36
"LeBlanc","Middle",2,"15.4%","38.5%","53.8%","50%","50%",6,8,5,1.4,"64.7%","21.1%","100%",448,357,12.5,7.2,"21.2%",515,"28.9%","20.9%",0.41,0.36
"Lee Sin","Jungle",1,"7.7%","7.7%","15.4%","0%","0%",0,8,1,0.1,"20.0%","26.7%","0%",-398,-501,3,4,"10.0%",257,"14.5%","13.7%",0.65,0.27
"Leona","Support",1,"7.7%","0.0%","7.7%","100%","100%",1,2,11,6,"40.0%","40.0%","0%",119,187,12,1.8,"6.1%",113,"4.8%","9.7%",1.54,0.38
"Lissandra","Middle",1,"7.7%","0.0%","7.7%","0%","100%",0,5,7,1.4,"70.0%","20.8%","0%",-488,-249,1,7.2,"21.3%",378,"26.9%","17.4%",0.51,0.32
"Lucian","ADC",2,"15.4%","0.0%","15.4%","50%","100%",2,1,6,8,"50.0%","5.0%","0%",165,-6,10.5,11.1,"32.8%",421,"29.2%","27.4%",0.41,0.79
"Mordekaiser","Top",1,"7.7%","0.0%","7.7%","0%","100%",0,4,0,0,"-","40.0%","0%",-210,-172,-11,8.7,"21.2%",244,"30.4%","20.0%",0.5,0.12
"Morgana","Support",1,"7.7%","15.4%","23.1%","0%","0%",0,5,7,1.4,"70.0%","31.3%","0%",25,-70,4,0.7,"3.2%",181,"10.4%","8.7%",1.91,0.54
"Nautilus","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Neeko","Middle",2,"15.4%","15.4%","30.8%","50%","50%",9,1,8,17,"58.6%","8.3%","0%",182,65,5,9.8,"26.7%",400,"23.2%","24.8%",0.62,0.3
"Olaf","-",0,"0%","30.8%","30.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
