"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"1.1%","47.3%","92.5%","0%","0%",3,2,1,2,"100.0%","22.2%","0%",608,504,2,4.8,"12.2%",139,"12.7%","16.7%",0.32,0.4
"Aatrox","Middle",1,"1.1%","47.3%","92.5%","0%","0%",3,5,3,1.2,"54.5%","23.8%","0%",406,231,15,8.2,"23.6%",407,"20.6%","24.4%",0.42,0.36
"Aatrox","Top",40,"43.0%","47.3%","92.5%","63%","13%",100,79,154,3.2,"52.2%","18.8%","5%",-169,-27,-2.7,8.5,"27.2%",384,"20.6%","23.1%",0.51,0.17
"Akali","Middle",11,"11.8%","30.1%","51.6%","73%","45%",49,21,46,4.5,"56.5%","21.6%","0%",50,8,-0.6,8.1,"23.6%",404,"21.2%","22.1%",0.41,0.18
"Akali","Top",9,"9.7%","30.1%","51.6%","44%","33%",33,19,30,3.3,"60.6%","17.8%","0%",166,247,7.9,8.6,"24.7%",401,"23.2%","23.4%",0.47,0.21
"Alistar","Support",2,"2.2%","2.2%","4.3%","50%","0%",2,6,17,3.2,"61.3%","23.1%","50%",229,140,2,1.3,"3.1%",160,"8.7%","8.2%",1.47,0.16
"Anivia","Middle",4,"4.3%","6.5%","10.8%","75%","25%",15,9,22,4.1,"64.9%","20.9%","50%",139,83,-3,8.4,"23.2%",369,"20.0%","22.8%",0.41,0.16
"Ashe","ADC",2,"2.2%","0.0%","2.2%","50%","50%",8,3,7,5,"60.0%","13.6%","50%",132,-264,-1,10.1,"32.4%",624,"35.8%","26.5%",0.31,0.35
"Azir","Middle",24,"25.8%","34.4%","61.3%","38%","33%",71,56,81,2.7,"65.0%","19.1%","8%",-109,68,1.4,9.2,"29.0%",543,"31.8%","25.3%",0.45,0.26
"Azir","Top",1,"1.1%","34.4%","61.3%","100%","0%",5,3,2,2.3,"58.3%","60.0%","100%",-16,-330,-12,7.9,"25.0%",395,"21.9%","21.6%",0.58,0.24
"Bard","Support",2,"2.2%","0.0%","2.2%","50%","100%",2,3,10,4,"70.6%","21.4%","0%",61,78,-13,0.7,"3.3%",206,"11.7%","9.4%",1.24,0.52
"Braum","Support",20,"21.5%","9.7%","31.2%","50%","65%",9,45,143,3.4,"69.4%","23.0%","20%",-107,4,2.7,2,"6.9%",131,"7.2%","10.1%",1.39,0.3
"Caitlyn","ADC",12,"12.9%","3.2%","16.1%","83%","92%",46,15,60,7.1,"71.1%","17.6%","50%",430,123,17.9,9.5,"28.5%",528,"29.9%","26.2%",0.41,0.42
"Camille","Top",4,"4.3%","14.0%","18.3%","75%","75%",22,8,21,5.4,"76.8%","23.5%","50%",512,226,12,8.7,"30.0%",479,"24.5%","27.9%",0.49,0.19
"Cassiopeia","Middle",3,"3.2%","2.2%","7.5%","33%","100%",4,7,9,1.9,"76.5%","18.9%","0%",-64,52,5.3,8.7,"21.1%",340,"26.8%","23.2%",0.52,0.23
"Cassiopeia","Top",2,"2.2%","2.2%","7.5%","0%","100%",3,8,4,0.9,"58.3%","25.0%","0%",60,162,13.5,8.6,"32.1%",395,"30.6%","26.3%",0.35,0.11
"Corki","Middle",30,"32.3%","17.2%","49.5%","47%","37%",96,46,114,4.6,"70.2%","15.0%","20%",4,43,-0.8,9.7,"29.7%",529,"30.8%","26.6%",0.5,0.29
"Diana","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",5,"5.4%","6.5%","11.8%","40%","20%",21,11,31,4.7,"71.2%","16.7%","60%",219,-143,-0.4,8.4,"26.8%",490,"23.6%","27.0%",0.41,0.4
"Elise","Jungle",5,"5.4%","5.4%","10.8%","20%","40%",9,21,17,1.2,"50.0%","30.4%","60%",70,-75,0.4,4.6,"12.1%",222,"14.2%","14.8%",0.85,0.4
"Ezreal","ADC",29,"31.2%","17.2%","48.4%","55%","41%",84,45,118,4.5,"62.9%","15.4%","17%",218,-45,0.5,8.9,"28.2%",639,"32.4%","25.5%",0.46,0.31
"Fiora","Top",1,"1.1%","2.2%","3.2%","0%","100%",1,2,0,0.5,"25.0%","13.3%","0%",539,230,27,10.1,"29.3%",481,"28.1%","30.8%",0.42,0.2
"Galio","Support",3,"3.2%","1.1%","4.3%","67%","0%",0,6,24,4,"66.7%","18.2%","0%",-221,-14,8,2,"7.3%",144,"9.0%","9.2%",1.42,0.29
"Gangplank","Top",18,"19.4%","14.0%","33.3%","44%","78%",45,49,99,2.9,"75.8%","21.1%","22%",-130,-107,-6.4,8.3,"27.4%",576,"29.6%","25.3%",0.46,0.14
"Gragas","Jungle",13,"14.0%","8.6%","23.7%","62%","77%",19,30,95,3.8,"68.3%","21.6%","31%",-24,-49,-3.3,4.7,"13.1%",324,"16.7%","15.4%",0.83,0.36
"Gragas","Support",1,"1.1%","8.6%","23.7%","0%","100%",0,2,2,1,"28.6%","11.1%","0%",-352,-460,4,0.6,"3.1%",101,"6.6%","6.6%",1.48,0.24
"Graves","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",1,1,2,3,"42.9%","9.1%","100%",206,192,-7,8,"29.8%",261,"18.6%","24.8%",1.24,0.56
"Hecarim","Jungle",4,"4.3%","4.3%","8.6%","75%","50%",12,13,26,2.9,"59.4%","28.9%","50%",207,334,6,5.3,"15.8%",267,"17.2%","18.9%",0.5,0.26
