"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Fizz","Middle",1,"1.1%","0.0%","1.1%","0%","100%",4,6,5,1.5,"64.3%","40.0%","100%",-245,-90,-22,6.6,"19.9%",343,"18.5%","19.5%",0.46,0.17
"Kassadin","Middle",2,"2.2%","0.0%","2.2%","0%","100%",1,4,1,0.5,"20.0%","13.8%","0%",-359,-113,-15.5,9.6,"31.2%",193,"15.8%","24.2%",0.43,0.28
"Leona","Support",1,"1.1%","1.1%","2.2%","0%","100%",0,3,7,2.3,"77.8%","17.6%","0%",25,-317,11,1.3,"5.4%",159,"11.0%","10.3%",1.16,0.22
"Malzahar","Middle",1,"1.1%","0.0%","1.1%","0%","100%",3,1,4,7,"87.5%","6.3%","0%",-342,-241,-15,9.4,"36.9%",736,"37.8%","30.0%",0.35,0.16
"Ornn","Top",3,"3.3%","2.2%","5.5%","0%","100%",5,12,7,1,"54.5%","24.0%","33%",-581,-343,-21,6.8,"22.6%",362,"27.8%","19.2%",0.54,0.06
"Poppy","Jungle",1,"1.1%","5.5%","12.1%","0%","100%",0,3,1,0.3,"33.3%","37.5%","0%",-516,-442,-16,4.1,"10.6%",121,"9.5%","12.5%",0.85,0.35
"Riven","Jungle",1,"1.1%","0.0%","2.2%","0%","100%",1,5,4,1,"83.3%","26.3%","0%",-812,-353,0,4.6,"15.3%",164,"15.1%","16.7%",0.27,0.14
"Riven","Middle",1,"1.1%","0.0%","2.2%","0%","100%",4,4,3,1.8,"77.8%","23.5%","0%",-350,-101,-20,7.7,"33.2%",303,"21.0%","29.4%",0.39,0.04
"Rumble","Top",4,"4.4%","0.0%","4.4%","0%","100%",4,15,9,0.9,"56.5%","25.0%","0%",-393,-57,-5.5,7.6,"22.2%",416,"30.9%","20.3%",0.55,0.08
"Shen","Support",2,"2.2%","1.1%","4.4%","0%","100%",1,3,6,2.3,"63.6%","13.6%","0%",152,228,4,1.9,"6.7%",60,"4.5%","8.8%",1.37,0.43
"Shen","Top",1,"1.1%","1.1%","4.4%","0%","100%",7,5,3,2,"71.4%","17.9%","100%",-381,-479,-16,7.1,"22.1%",326,"14.2%","23.1%",0.7,0.38
"Trundle","Support",1,"1.1%","0.0%","1.1%","0%","100%",1,3,11,4,"66.7%","14.3%","0%",197,270,-1,2.5,"8.9%",134,"7.4%","13.1%",1.99,0.43
"Varus","ADC",4,"4.4%","1.1%","5.5%","0%","100%",4,10,4,0.8,"44.4%","18.2%","0%",-579,-124,-9.5,8.9,"28.6%",224,"21.2%","23.7%",0.37,0.17
"Viktor","ADC",2,"2.2%","7.7%","12.1%","0%","100%",4,4,10,3.5,"63.6%","10.0%","0%",-786,-56,-20.5,9.2,"31.9%",708,"38.1%","24.1%",0.26,0.4
"Cassiopeia","Middle",6,"6.6%","49.5%","62.6%","0%","50%",9,18,12,1.2,"52.5%","17.5%","0%",-7,-9,4.2,9.1,"26.4%",402,"27.8%","23.4%",0.48,0.16
"Kog'Maw","ADC",1,"1.1%","0.0%","1.1%","0%","0%",3,3,2,1.7,"62.5%","16.7%","0%",-185,219,4,9.5,"35.8%",608,"29.2%","27.3%",0.42,0.35
"Sion","Middle",1,"1.1%","4.4%","29.7%","0%","0%",0,2,10,5,"71.4%","10.5%","0%",-369,-271,-19,6.4,"22.4%",255,"13.3%","16.5%",0.57,0.11
"Sylas","Jungle",1,"1.1%","17.6%","33.0%","0%","0%",2,2,4,3,"54.5%","11.1%","0%",-60,237,9,5,"14.4%",190,"15.2%","17.5%",0.36,0.22
"Urgot","Jungle",1,"1.1%","29.7%","67.0%","0%","0%",2,5,3,1,"50.0%","31.3%","0%",-449,-865,-16,3.6,"10.5%",214,"10.9%","14.5%",0.51,0.46
"Xin Zhao","Jungle",8,"8.8%","14.3%","23.1%","13%","0%",17,28,25,1.5,"71.2%","25.2%","13%",-20,32,2.3,4.8,"12.6%",252,"15.9%","17.1%",0.4,0.34
"Vladimir","Top",7,"7.7%","5.5%","15.4%","14%","86%",9,27,20,1.1,"56.9%","26.5%","29%",-241,-25,-3.3,8.2,"24.1%",407,"27.2%","21.4%",0.44,0.14
"Ashe","ADC",4,"4.4%","0.0%","4.4%","25%","100%",14,5,22,7.2,"81.8%","10.0%","25%",-98,-195,-11.8,9.7,"32.1%",623,"34.4%","27.7%",0.34,0.32
"Kha'zix","Jungle",4,"4.4%","6.6%","11.0%","25%","50%",11,8,7,2.3,"66.7%","16.7%","25%",-344,-623,-13,5.4,"15.7%",235,"17.3%","19.8%",0.52,0.37
"Irelia","Top",4,"4.4%","31.9%","42.9%","25%","25%",8,16,17,1.6,"46.3%","22.5%","25%",-151,-245,4,8.5,"26.9%",316,"16.7%","22.2%",0.5,0.18
"Jayce","Middle",4,"4.4%","56.0%","71.4%","25%","25%",8,10,20,2.8,"63.6%","18.9%","0%",-68,-112,-3.5,9,"27.1%",505,"26.9%","22.1%",0.47,0.34
"Ryze","Top",4,"4.4%","20.9%","42.9%","25%","25%",10,11,14,2.2,"68.6%","22.9%","0%",83,69,9.8,9.4,"27.2%",459,"26.1%","24.6%",0.45,0.11
"Sylas","Top",7,"7.7%","17.6%","33.0%","29%","86%",8,22,18,1.2,"49.1%","23.4%","14%",151,272,4.4,7.9,"24.4%",285,"23.6%","21.7%",0.42,0.11
"Tahm Kench","Support",17,"18.7%","4.4%","23.1%","29%","59%",8,44,76,1.9,"62.2%","22.8%","12%",110,63,5.7,2,"6.9%",102,"6.7%","12.0%",1.4,0.2
"Galio","Middle",7,"7.7%","28.6%","51.6%","29%","43%",17,14,42,4.2,"70.2%","16.9%","57%",-341,-138,-18.9,7.9,"25.6%",456,"25.9%","20.2%",0.45,0.09
"Camille","Top",3,"3.3%","8.8%","18.7%","33%","100%",11,12,12,1.9,"54.8%","23.5%","0%",-669,-427,-5.7,8.1,"26.6%",424,"24.5%","23.9%",0.41,0.11
