"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",10,"11.0%","46.2%","81.3%","50%","60%",32,31,60,3,"65.2%","23.8%","10%",-95,-3,-4.2,8.3,"24.6%",427,"20.7%","22.4%",0.5,0.2
"Aatrox","Top",22,"24.2%","46.2%","81.3%","36%","27%",49,67,103,2.3,"54.7%","20.9%","18%",-222,-241,-4.2,8,"24.6%",360,"20.4%","21.6%",0.5,0.14
"Akali","Middle",21,"23.1%","20.9%","46.2%","62%","57%",108,50,86,3.9,"60.6%","20.7%","14%",5,133,1,8.6,"25.8%",468,"24.9%","23.6%",0.42,0.16
"Akali","Top",2,"2.2%","20.9%","46.2%","100%","50%",13,2,8,10.5,"47.7%","10.0%","50%",483,197,21.5,9.1,"23.5%",557,"23.9%","24.8%",0.32,0.2
"Alistar","Support",8,"8.8%","4.4%","13.2%","38%","63%",11,33,71,2.5,"81.2%","26.2%","38%",-40,-167,6.3,1.4,"4.6%",140,"7.6%","9.1%",1.43,0.23
"Annie","Top",1,"1.1%","0.0%","1.1%","100%","0%",5,0,10,15,"62.5%","0.0%","0%",242,-418,20,8.9,"25.5%",654,"25.2%","23.1%",0.44,0.16
"Ashe","ADC",7,"7.7%","4.4%","12.1%","57%","71%",20,17,43,3.7,"72.4%","22.7%","57%",159,38,9.7,9.6,"28.7%",443,"24.4%","24.9%",0.41,0.38
"Azir","Middle",25,"27.5%","29.7%","57.1%","48%","36%",72,58,96,2.9,"59.2%","18.8%","8%",31,150,8.5,9.7,"30.4%",529,"32.9%","25.9%",0.4,0.23
"Bard","Support",1,"1.1%","0.0%","1.1%","0%","100%",3,9,11,1.6,"56.0%","22.0%","0%",-313,-1561,-39,0.9,"4.3%",468,"17.0%","13.5%",1.74,0.22
"Blitzcrank","Support",1,"1.1%","3.3%","4.4%","0%","100%",1,1,4,5,"55.6%","6.7%","0%",-151,109,-4,1.6,"5.0%",94,"9.0%","7.8%",2.07,0.26
"Braum","Support",14,"15.4%","13.2%","28.6%","43%","93%",10,29,98,3.7,"71.5%","16.1%","21%",-104,-116,4.6,2,"7.4%",116,"6.7%","10.3%",1.51,0.27
"Caitlyn","ADC",3,"3.3%","3.3%","6.6%","0%","100%",6,6,7,2.2,"50.0%","12.2%","0%",-40,80,11.3,10.2,"32.8%",582,"33.3%","26.8%",0.32,0.43
"Camille","Middle",2,"2.2%","4.4%","7.7%","100%","50%",9,5,16,5,"62.5%","55.6%","50%",-598,-321,-24.5,8.5,"31.5%",446,"21.4%","23.8%",0.39,0.14
"Camille","Top",1,"1.1%","4.4%","7.7%","0%","100%",1,2,1,1,"28.6%","11.8%","0%",-249,-261,-11,7.5,"26.5%",285,"18.9%","21.7%",0.36,0
"Cassiopeia","Middle",3,"3.3%","3.3%","6.6%","67%","67%",15,6,21,6,"63.2%","14.0%","0%",223,68,15.7,9,"26.7%",558,"25.9%","24.5%",0.47,0.13
"Corki","ADC",3,"3.3%","14.3%","48.4%","100%","0%",15,6,30,7.5,"77.6%","17.1%","33%",-200,-161,-9.7,9.5,"31.9%",533,"25.6%","27.6%",0.41,0.43
"Corki","Middle",27,"29.7%","14.3%","48.4%","56%","48%",125,56,116,4.3,"65.8%","16.6%","15%",121,-49,-3,9.6,"29.8%",604,"33.6%","27.7%",0.47,0.25
"Corki","Top",1,"1.1%","14.3%","48.4%","0%","0%",3,1,4,7,"46.7%","6.7%","0%",-136,-81,-3,9.6,"31.2%",739,"36.0%","26.2%",0.51,0.38
"Diana","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",3,"3.3%","46.2%","50.5%","33%","67%",8,8,11,2.4,"65.5%","17.8%","0%",38,-59,7.3,9.2,"29.6%",369,"24.2%","28.0%",0.35,0.35
"Draven","Middle",1,"1.1%","46.2%","50.5%","100%","0%",14,7,8,3.1,"44.9%","25.9%","0%",1488,825,37,7.8,"23.0%",1137,"25.2%","27.4%",0.19,0.04
"Ekko","Middle",3,"3.3%","0.0%","3.3%","33%","100%",10,15,4,0.9,"45.2%","30.6%","33%",-15,47,-6,9.1,"26.3%",461,"27.9%","23.6%",0.4,0.05
"Elise","Jungle",16,"17.6%","27.5%","45.1%","63%","69%",44,35,73,3.3,"61.9%","20.3%","25%",-54,-137,-1.6,5,"14.0%",292,"17.5%","16.9%",0.93,0.45
"Evelynn","Jungle",2,"2.2%","3.3%","5.5%","50%","50%",16,8,17,4.1,"68.8%","14.5%","0%",-97,-116,0,5.7,"20.3%",570,"21.6%","23.0%",0.41,0.2
