"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"4.2%","62.5%","100.0%","0%","100%",5,7,2,1,"63.6%","38.9%","0%",934,255,-5,7.5,"26.3%",495,"32.5%","25.1%",0.65,0.11
"Aatrox","Top",8,"33.3%","62.5%","100.0%","38%","13%",22,23,36,2.5,"60.4%","21.9%","0%",-525,-142,-8.3,7.6,"25.0%",468,"25.4%","21.9%",0.5,0.14
"Akali","Middle",17,"70.8%","16.7%","100.0%","35%","24%",58,45,64,2.7,"53.3%","16.0%","18%",-78,149,2.1,8.5,"25.2%",469,"24.9%","23.9%",0.44,0.18
"Akali","Top",3,"12.5%","16.7%","100.0%","67%","0%",11,10,11,2.2,"43.1%","21.7%","0%",82,-126,18.7,7.7,"24.1%",506,"24.9%","20.4%",0.46,0.11
"Alistar","Support",7,"29.2%","4.2%","33.3%","57%","14%",5,24,59,2.7,"55.2%","22.2%","0%",-91,-4,5.9,1.4,"4.4%",109,"5.8%","8.1%",1.92,0.33
"Azir","Middle",2,"8.3%","0.0%","8.3%","0%","50%",4,7,2,0.9,"30.0%","18.4%","0%",-157,-493,0,9.2,"28.3%",482,"25.1%","24.7%",0.35,0.17
"Braum","Support",4,"16.7%","12.5%","29.2%","0%","50%",0,15,21,1.4,"75.0%","21.4%","25%",-507,-202,3.8,2,"7.8%",129,"8.3%","9.7%",1.33,0.26
"Caitlyn","ADC",1,"4.2%","0.0%","4.2%","100%","100%",8,0,4,12,"66.7%","0.0%","100%",1409,587,3,10.4,"35.9%",708,"39.0%","30.7%",0.38,0.5
"Camille","-",0,"0%","4.2%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","Middle",9,"37.5%","12.5%","50.0%","56%","89%",31,26,47,3,"62.9%","18.4%","22%",227,66,7,9.2,"29.7%",612,"31.6%","26.4%",0.47,0.14
"Draven","ADC",1,"4.2%","20.8%","25.0%","0%","100%",5,4,6,2.8,"100.0%","17.4%","0%",649,381,20,8.6,"31.4%",597,"27.8%","31.7%",0.28,0.3
"Elise","Jungle",2,"8.3%","4.2%","12.5%","50%","50%",6,6,9,2.5,"51.7%","18.8%","0%",-167,-382,-4,5.2,"16.7%",317,"15.9%","20.1%",0.52,0.36
"Ezreal","ADC",4,"16.7%","20.8%","37.5%","75%","100%",18,6,21,6.5,"57.4%","12.2%","25%",428,-66,1.5,9.5,"34.0%",645,"30.7%","28.0%",0.39,0.26
"Gangplank","Top",2,"8.3%","58.3%","66.7%","100%","50%",6,6,15,3.5,"58.3%","40.0%","50%",64,205,-12.5,7.7,"24.2%",604,"25.8%","21.2%",0.47,0.05
"Garen","ADC",3,"12.5%","0.0%","12.5%","67%","67%",14,5,25,7.8,"66.1%","10.9%","0%",-178,-456,-13.7,6.8,"21.2%",296,"11.3%","20.1%",0.94,0.38
"Gnar","Top",6,"25.0%","0.0%","25.0%","33%","83%",8,16,30,2.4,"51.4%","19.3%","33%",161,-181,4.7,7.7,"23.5%",402,"24.4%","21.2%",0.46,0.18
"Gragas","Jungle",11,"45.8%","29.2%","79.2%","55%","9%",24,34,78,3,"63.0%","20.6%","9%",-49,64,-0.9,4.2,"10.9%",364,"18.6%","15.2%",0.82,0.31
"Gragas","Support",1,"4.2%","29.2%","79.2%","0%","100%",2,11,5,0.6,"43.8%","34.4%","100%",592,525,-7,0.3,"1.0%",208,"8.7%","7.6%",1.34,0.09
"Graves","Jungle",1,"4.2%","0.0%","4.2%","0%","100%",2,4,1,0.8,"75.0%","22.2%","0%",-267,1136,10,5,"15.0%",197,"14.9%","16.6%",0.96,0.54
"Irelia","Top",1,"4.2%","25.0%","29.2%","100%","100%",1,2,6,3.5,"41.2%","40.0%","0%",-215,630,7,9.6,"29.5%",325,"18.9%","22.7%",0.37,0.03
"Jarvan IV","Jungle",1,"4.2%","4.2%","8.3%","100%","100%",5,1,13,18,"85.7%","25.0%","100%",-158,-93,6,4.7,"10.7%",271,"12.1%","18.0%",0.98,0.51
"Jax","Top",2,"8.3%","16.7%","25.0%","100%","100%",12,4,7,4.8,"48.7%","17.4%","0%",376,883,7,8.2,"24.3%",608,"28.8%","22.4%",0.52,0.25
"Jayce","Top",2,"8.3%","0.0%","8.3%","0%","0%",4,10,4,0.8,"50.0%","20.4%","0%",-160,96,9,7.9,"28.5%",406,"25.8%","25.6%",0.43,0.14
"Kai'Sa","ADC",11,"45.8%","16.7%","62.5%","55%","45%",53,22,64,5.3,"62.2%","15.4%","18%",-260,-94,-5.3,9.7,"34.4%",525,"25.9%","27.3%",0.33,0.27
"Karma","ADC",1,"4.2%","12.5%","33.3%","100%","100%",2,0,9,11,"57.9%","0.0%","100%",-33,389,-10,8.8,"24.8%",596,"29.7%","19.8%",0.63,0.71
"Karma","Middle",1,"4.2%","12.5%","33.3%","100%","0%",2,1,4,6,"54.5%","20.0%","100%",490,-198,2,8.5,"20.5%",304,"18.0%","19.6%",0.58,0.22
"Karma","Top",3,"12.5%","12.5%","33.3%","33%","0%",7,12,19,2.2,"66.7%","20.0%","33%",814,407,14.3,7.7,"22.5%",544,"26.0%","22.1%",0.53,0.23
"Karthus","Middle",1,"4.2%","0.0%","4.2%","0%","100%",1,5,3,0.8,"100.0%","27.8%","0%",-980,-1334,-34,6.3,"19.0%",385,"29.3%","21.6%",0.46,0.04
"Kassadin","Middle",1,"4.2%","0.0%","4.2%","0%","100%",2,2,1,1.5,"42.9%","7.4%","0%",-664,-690,-13,8.8,"30.2%",292,"17.9%","28.7%",0.46,0.1
"Kennen","Top",1,"4.2%","8.3%","12.5%","100%","100%",11,3,9,6.7,"87.0%","27.3%","100%",1221,503,18,7.4,"22.4%",693,"37.3%","28.0%",0.51,0.32
"Kled","Top",6,"25.0%","16.7%","41.7%","67%","33%",29,12,28,4.8,"51.8%","15.4%","33%",324,-71,-0.8,7.8,"25.7%",487,"24.0%","23.0%",0.41,0.15
