"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Kai'Sa","ADC",133,"45.5%","14.4%","59.9%","56%","42%",561,229,628,5.2,"69.2%","14.6%",9.5,480,"27.6%","26.7%",0.34,0.33
"Alistar","Support",122,"41.8%","28.1%","69.9%","56%","39%",92,366,1017,3,"71.1%","24.4%",1.7,120,"7.0%","12.6%",1.48,0.23
"Lissandra","Middle",120,"41.1%","45.9%","88.4%","60%","24%",331,319,870,3.8,"72.1%","22.2%",8.6,448,"25.0%","22.1%",0.4,0.25
"Jarvan IV","Jungle",116,"39.7%","15.1%","55.5%","53%","34%",174,322,1062,3.8,"82.6%","22.5%",4.6,180,"10.2%","15.5%",0.85,0.47
"Tahm Kench","Support",108,"37.0%","26.7%","63.7%","54%","43%",67,267,745,3,"61.7%","21.6%",2.2,114,"6.1%","14.2%",1.46,0.21
"Galio","Support",107,"36.6%","25.3%","75.0%","52%","34%",101,320,829,2.9,"69.8%","23.2%",2.1,177,"10.5%","12.9%",1.43,0.24
"Braum","Support",93,"31.8%","9.2%","41.1%","40%","74%",46,276,773,3,"71.8%","21.3%",2.1,137,"7.7%","13.0%",1.47,0.24
"Urgot","Top",91,"31.2%","15.4%","54.1%","51%","18%",312,206,412,3.5,"60.8%","19.0%",7.7,391,"21.4%","21.6%",0.46,0.26
"Ezreal","ADC",86,"29.5%","16.1%","45.5%","47%","65%",295,190,429,3.8,"69.4%","16.8%",9.1,697,"36.1%","25.9%",0.37,0.3
"Sion","Top",75,"25.7%","12.7%","41.1%","47%","57%",90,177,461,3.1,"58.8%","18.5%",6.9,291,"16.8%","18.1%",0.46,0.16
"Lucian","ADC",73,"25.0%","42.8%","68.5%","36%","23%",204,173,321,3,"65.5%","16.7%",9.2,471,"27.2%","25.4%",0.35,0.42
"Lee Sin","Jungle",73,"25.0%","16.4%","41.4%","45%","58%",162,225,422,2.6,"73.0%","23.4%",4.8,201,"12.1%","16.8%",0.73,0.35
"Zoe","Middle",65,"22.3%","50.3%","72.6%","63%","43%",224,124,365,4.8,"69.5%","16.6%",8.1,605,"31.7%","22.0%",0.43,0.22
"Kalista","ADC",64,"21.9%","24.7%","46.6%","50%","28%",214,153,352,3.7,"66.4%","19.5%",9.5,402,"22.6%","25.5%",0.38,0.39
"Olaf","Jungle",60,"20.5%","27.7%","48.3%","52%","37%",151,124,387,4.3,"67.9%","18.1%",5.1,272,"14.9%","17.0%",0.83,0.43
"Vayne","ADC",57,"19.5%","12.7%","33.2%","49%","53%",244,116,205,3.9,"66.3%","16.1%",8.9,451,"26.1%","26.1%",0.34,0.34
"LeBlanc","Middle",55,"18.8%","42.8%","61.6%","51%","40%",231,103,304,5.2,"70.6%","14.8%",8,532,"27.2%","22.2%",0.33,0.3
"Vladimir","Top",46,"15.8%","32.5%","52.7%","48%","52%",131,101,200,3.3,"60.0%","17.4%",8.6,511,"28.9%","23.4%",0.41,0.15
"Rek'Sai","Jungle",46,"15.8%","29.5%","45.2%","52%","35%",148,149,244,2.6,"70.0%","24.3%",5.1,260,"13.9%","18.0%",0.52,0.47
"Thresh","Support",46,"15.8%","20.9%","36.6%","50%","43%",42,117,367,3.5,"68.7%","21.9%",1.4,132,"7.6%","11.4%",1.45,0.29
"Ryze","Middle",44,"15.1%","26.7%","48.3%","25%","75%",103,135,162,2,"62.5%","19.2%",8.7,438,"25.8%","23.4%",0.46,0.18
"Kennen","Top",41,"14.0%","7.2%","21.2%","49%","44%",81,107,203,2.7,"55.7%","21.6%",7.8,445,"24.9%","22.1%",0.42,0.2
"Syndra","Middle",40,"13.7%","20.2%","33.9%","53%","78%",134,82,231,4.5,"69.8%","17.4%",8.7,529,"28.9%","23.2%",0.41,0.2
"Yorick","Top",39,"13.4%","16.4%","29.8%","51%","56%",72,80,150,2.8,"54.5%","16.2%",9,436,"25.3%","24.0%",0.45,0.14
"Xin Zhao","Jungle",39,"13.4%","11.3%","24.7%","44%","49%",86,116,219,2.6,"62.9%","22.7%",4.7,244,"13.7%","16.1%",0.65,0.33
"Galio","Middle",38,"13.0%","25.3%","75.0%","47%","29%",115,74,266,5.1,"75.7%","19.1%",8.2,454,"26.2%","21.6%",0.42,0.15
