"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akaadian","Team SoloMid","Jungle",18,"72%","50%",36,38,102,3.6,"64.5%","16.8%","22.8%","28%",-26,-32,-2.1,5.3,"15.4%",218,"11.3%","17.1%",0.4,0.42
"Allorim","OpTic Gaming","Top",2,"50%","100%",8,3,5,4.3,"50.0%","30.8%","12.5%","0%",-25,101,-1,8.8,"26.8%",351,"19.8%","23.3%",0.55,0.22
"AnDa","100 Thieves","Jungle",16,"25%","69%",18,40,61,2,"63.7%","14.5%","24.2%","25%",132,150,1.6,5.1,"13.7%",159,"10.6%","16.3%",0.71,0.44
"aphromoo","100 Thieves","Support",16,"25%","19%",7,42,61,1.6,"54.8%","5.6%","25.5%","6%",7,58,2.8,1.6,"5.4%",95,"6.3%","9.7%",1.21,0.29
"Apollo","Echo Fox","ADC",18,"44%","61%",53,29,75,4.4,"69.6%","28.8%","14.9%","11%",-9,14,1.1,9.5,"29.5%",460,"25.7%","25.8%",0.42,0.36
"Arrow","OpTic Gaming","ADC",14,"36%","71%",30,17,46,4.5,"62.8%","24.8%","9.7%","21%",-14,-57,-0.5,9.1,"29.0%",471,"27.8%","26.1%",0.51,0.41
"Asta","OpTic Gaming","ADC",4,"50%","75%",10,7,12,3.1,"53.7%","24.4%","16.7%","50%",143,1,-6.3,9.9,"33.4%",485,"29.7%","25.9%",0.5,0.3
"Auto","Counter Logic Gaming","ADC",2,"0%","0%",2,6,4,1,"85.7%","28.6%","24.0%","0%",-342,47,-6,8.4,"25.8%",429,"31.7%","24.7%",0.35,0.3
"Bang","100 Thieves","ADC",18,"22%","50%",40,25,62,4.1,"74.5%","29.2%","12.5%","6%",-88,-97,-3.4,9.5,"30.0%",534,"34.7%","26.7%",0.52,0.28
"Big","OpTic Gaming","Support",14,"36%","57%",9,45,68,1.7,"63.6%","7.4%","25.6%","29%",21,-42,0.9,1.5,"5.0%",112,"6.7%","9.8%",1.53,0.35
"Biofrost","Counter Logic Gaming","Support",18,"39%","67%",8,31,83,2.9,"67.4%","5.9%","16.9%","28%",-59,-51,3.6,1.7,"5.8%",97,"6.3%","10.5%",1.49,0.36
"Bjergsen","Team SoloMid","Middle",18,"72%","56%",52,25,94,5.8,"68.2%","24.3%","15.0%","28%",136,142,3.3,9,"26.2%",507,"25.9%","23.8%",0.4,0.17
"Blaber","Cloud9","Jungle",2,"100%","50%",6,5,14,4,"71.4%","21.4%","41.7%","100%",-90,216,-3.5,5.4,"15.6%",411,"24.4%","18.0%",0.66,0.27
"Broken Blade","Team SoloMid","Top",18,"72%","39%",46,37,73,3.2,"55.6%","21.5%","22.2%","17%",6,-12,-3.1,8.3,"25.5%",432,"23.3%","22.9%",0.58,0.17
"Cody Sun","Clutch Gaming","ADC",2,"0%","100%",2,3,3,1.7,"71.4%","28.6%","10.7%","50%",-1074,-555,-19,10,"34.2%",387,"26.8%","26.9%",0.36,0.24
"Contractz","Golden Guardians","Jungle",19,"47%","63%",36,51,83,2.3,"61.0%","18.5%","23.3%","37%",-125,-176,-4.4,5,"14.3%",243,"13.2%","16.2%",0.68,0.39
