"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",19,"47%","53%",41,43,79,2.8,"63.2%","21.6%","21.9%","11%",-115,-125,-3.3,9.1,"26.6%",417,"24.6%","22.5%",0.51,0.19
"Alphari","Origen","Top",18,"67%","50%",29,30,73,3.4,"51.8%","14.7%","19.4%","11%",133,36,1.7,8,"22.4%",354,"21.8%","20.9%",0.54,0.15
"Attila","Team Vitality","ADC",18,"56%","56%",48,30,77,4.2,"60.1%","23.1%","14.9%","11%",-112,-22,-3.9,10.2,"33.4%",458,"25.6%","26.9%",0.35,0.39
"Broxah","Fnatic","Jungle",18,"61%","61%",49,27,93,5.3,"66.7%","23.0%","15.5%","33%",160,33,-1.8,5,"13.2%",255,"14.9%","17.1%",0.36,0.34
"Bwipo","Fnatic","Top",18,"61%","44%",41,42,80,2.9,"56.8%","19.2%","24.1%","17%",-275,-133,-10,7.6,"23.6%",444,"25.5%","20.4%",0.48,0.16
"Cabochard","Team Vitality","Top",18,"56%","33%",72,35,66,3.9,"66.3%","34.6%","17.3%","17%",278,82,5.4,8.8,"26.0%",448,"25.3%","25.2%",0.48,0.16
"Caedrel","Excel Esports","Jungle",18,"28%","44%",40,49,92,2.7,"72.5%","22.0%","23.6%","33%",-54,-103,-3.2,4.8,"13.4%",244,"15.8%","17.4%",0.61,0.34
"Caps","G2 Esports","Middle",18,"72%","39%",92,47,95,4,"60.3%","29.7%","21.2%","11%",-27,-72,2.8,8.4,"24.0%",550,"25.8%","22.6%",0.46,0.22
"Crownshot","SK Gaming","ADC",19,"53%","37%",73,44,85,3.6,"74.5%","34.4%","16.9%","11%",-43,-52,0.9,10,"33.4%",519,"28.9%","28.7%",0.37,0.36
"Dreams","SK Gaming","Support",19,"53%","42%",22,66,116,2.1,"65.1%","10.4%","25.4%","11%",-19,-23,1,1.5,"4.7%",112,"6.5%","11.1%",1.36,0.22
"Exile","Excel Esports","Middle",8,"25%","63%",14,19,25,2.1,"61.9%","22.2%","27.1%","0%",-327,-86,-13.3,8,"24.1%",345,"24.5%","21.6%",0.45,0.18
"Expect","Excel Esports","Top",18,"28%","72%",39,39,76,2.9,"63.2%","21.4%","18.8%","17%",-24,62,-1.3,8,"25.2%",334,"22.0%","22.6%",0.5,0.16
"FEBIVEN","Misfits Gaming","Middle",18,"44%","50%",55,31,65,3.9,"62.5%","28.6%","13.8%","22%",161,48,3.3,9,"27.2%",434,"26.0%","24.3%",0.44,0.15
"Finn","Rogue","Top",6,"33%","33%",13,20,16,1.5,"59.2%","26.5%","27.0%","0%",-510,-408,-16.3,7.4,"23.3%",369,"23.7%","22.0%",0.45,0.17
"GorillA","Misfits Gaming","Support",18,"44%","44%",13,58,118,2.3,"68.2%","6.8%","25.9%","33%",68,13,-0.8,1.4,"5.0%",136,"8.3%","10.9%",1.45,0.28
"Hans sama","Misfits Gaming","ADC",18,"44%","44%",55,32,70,3.9,"65.1%","28.6%","14.3%","28%",175,154,2.5,9.4,"29.7%",461,"27.0%","26.4%",0.42,0.3
"HeaQ","Rogue","ADC",18,"11%","83%",27,39,54,2.1,"55.9%","18.6%","15.5%","6%",-230,38,-7.4,8.7,"28.4%",368,"24.8%","24.6%",0.45,0.2
"Humanoid","Splyce","Middle",18,"61%","56%",54,53,105,3,"62.4%","21.2%","24.8%","22%",63,25,3.9,8.9,"26.0%",490,"27.7%","22.9%",0.48,0.21
"Hylissang","Fnatic","Support",18,"61%","61%",12,49,141,3.1,"71.8%","5.6%","28.2%","44%",-67,145,-4.6,1.2,"4.2%",158,"9.3%","11.6%",1.32,0.24
"IgNar","FC Schalke 04 Esports","Support",19,"47%","58%",12,43,122,3.1,"70.5%","6.3%","21.9%","21%",-69,65,-1.6,1.5,"5.3%",129,"7.6%","10.9%",1.49,0.35
"Jactroll","Team Vitality","Support",18,"56%","44%",8,43,114,2.8,"58.7%","3.8%","21.3%","11%",-86,-20,1.1,1.4,"4.6%",161,"9.2%","10.8%",1.37,0.19
"Jankos","G2 Esports","Jungle",18,"72%","61%",61,43,139,4.7,"64.5%","19.7%","19.4%","39%",33,4,-0.8,5.3,"15.2%",345,"16.3%","17.4%",0.84,0.42
"Jeskla","Excel Esports","ADC",18,"28%","50%",44,40,75,3,"65.4%","24.2%","19.2%","17%",-192,-82,-3.7,9.1,"31.0%",422,"27.5%","26.2%",0.43,0.26
"Jiizuke","Team Vitality","Middle",16,"56%","69%",47,44,53,2.3,"52.1%","24.5%","23.2%","6%",22,27,2.9,8.5,"24.5%",469,"26.2%","21.9%",0.43,0.12
"kaSing","Excel Esports","Support",14,"21%","29%",8,28,81,3.2,"65.4%","5.9%","17.6%","7%",-156,-74,1.9,1.5,"5.6%",112,"7.6%","11.2%",1.51,0.37
"Kikis","Rogue","Jungle",18,"11%","44%",27,58,81,1.9,"74.5%","18.6%","23.0%","22%",-123,23,1.4,4.9,"14.0%",252,"17.5%","17.1%",0.56,0.31
"Kobbe","Splyce","ADC",18,"61%","56%",81,24,93,7.3,"68.2%","31.8%","11.2%","33%",-34,-72,-3.4,10,"32.2%",521,"28.6%","27.6%",0.36,0.35
"Kold","Origen","Jungle",18,"67%","50%",43,35,84,3.6,"64.5%","21.8%","22.6%","33%",52,65,1.1,5.3,"14.4%",212,"12.9%","17.0%",0.42,0.4
"Maxlore","Misfits Gaming","Jungle",18,"44%","61%",37,42,94,3.1,"68.2%","19.3%","18.8%","33%",-162,-168,-0.1,5.2,"15.1%",236,"14.8%","17.5%",0.63,0.34
"Memento","FC Schalke 04 Esports","Jungle",19,"47%","47%",31,47,100,2.8,"68.9%","16.3%","24.0%","42%",-79,-190,-2.9,4.8,"12.1%",191,"11.9%","15.9%",0.66,0.37
"Mikyx","G2 Esports","Support",16,"81%","63%",17,48,182,4.1,"71.1%","6.1%","26.1%","25%",101,59,-0.7,1.2,"4.1%",188,"8.6%","10.8%",1.6,0.33
"Mithy","Origen","Support",18,"67%","61%",15,40,112,3.2,"64.5%","7.6%","25.8%","39%",95,151,-0.5,1.5,"5.1%",121,"7.7%","11.2%",1.35,0.27
"Mowgli","Team Vitality","Jungle",18,"56%","44%",27,47,114,3,"67.8%","13.0%","23.3%","22%",-94,-212,-0.2,4.5,"11.2%",236,"13.5%","14.9%",0.88,0.49
"Mystiques","Excel Esports","Support",4,"50%","50%",5,9,30,3.9,"76.1%","10.9%","18.4%","25%",16,-124,-9.8,0.7,"2.8%",132,"8.8%","11.7%",1.05,0.23
"Nemesis","Fnatic","Middle",18,"61%","39%",42,25,94,5.4,"63.8%","19.7%","14.4%","33%",82,-52,-4.3,8.8,"25.0%",432,"24.8%","22.4%",0.49,0.2
"Nukeduck","Origen","Middle",18,"67%","78%",41,28,75,4.1,"58.9%","20.8%","18.1%","11%",118,195,5.3,9.1,"26.4%",424,"25.8%","22.8%",0.45,0.18
"Odoamne","FC Schalke 04 Esports","Top",19,"47%","47%",46,47,51,2.1,"51.1%","24.2%","24.0%","0%",168,6,3.4,8.3,"23.2%",463,"27.4%","22.7%",0.45,0.2
"Orome","Splyce","Top",1,"100%","100%",6,2,6,6,"52.2%","26.1%","25.0%","0%",324,710,16,9.7,"28.5%",494,"20.8%","22.8%",0.41,0.15
"Patrik","Origen","ADC",18,"67%","39%",69,22,68,6.2,"69.5%","35.0%","14.2%","39%",59,-43,1.7,9.9,"31.7%",502,"31.8%","28.1%",0.47,0.33
"Perkz","G2 Esports","ADC",18,"72%","50%",82,36,112,5.4,"62.6%","26.5%","16.2%","33%",133,-9,3.3,10,"32.4%",593,"26.9%","26.8%",0.38,0.26
"Pirean","SK Gaming","Middle",19,"53%","32%",31,50,110,2.8,"66.5%","14.6%","19.2%","21%",22,-17,-0.5,8.3,"24.8%",446,"25.7%","21.3%",0.43,0.29
"Profit","Rogue","Top",12,"0%","50%",20,38,42,1.6,"64.6%","20.8%","21.3%","25%",-75,22,0.9,7.9,"25.2%",320,"23.0%","22.5%",0.39,0.12
"promisq","G2 Esports","Support",2,"0%","50%",2,8,15,2.1,"56.7%","6.7%","21.1%","50%",-265,-357,0.5,1.5,"4.9%",101,"5.4%","9.7%",1.78,0.48
"Rekkles","Fnatic","ADC",18,"61%","39%",69,31,70,4.5,"65.3%","32.4%","17.8%","28%",182,84,7,10.5,"34.0%",446,"25.4%","28.6%",0.37,0.51
"Saken","Team Vitality","Middle",2,"50%","0%",6,3,3,3,"56.3%","37.5%","25.0%","0%",-315,-176,-9.5,9.3,"27.1%",359,"27.4%","24.7%",0.63,0.12
"Selfmade","SK Gaming","Jungle",19,"53%","47%",50,47,108,3.4,"74.5%","23.6%","18.1%","37%",103,255,4.7,5.1,"14.3%",302,"17.1%","17.7%",0.48,0.24
"Sencux","Rogue","Middle",18,"11%","50%",46,48,47,1.9,"64.1%","31.7%","19.0%","17%",-140,-15,-2.9,8.7,"27.0%",392,"27.0%","25.0%",0.43,0.15
"sOAZ","Misfits Gaming","Top",18,"44%","56%",32,61,71,1.7,"53.6%","16.7%","27.2%","11%",-13,12,0.2,7.7,"22.9%",385,"23.9%","20.8%",0.48,0.2
"Special","Excel Esports","Middle",10,"30%","30%",32,24,43,3.1,"63.0%","26.9%","17.4%","10%",11,100,0.9,8.6,"26.4%",465,"28.7%","23.3%",0.45,0.19
"Tore","Splyce","Support",18,"61%","61%",16,52,159,3.4,"68.6%","6.3%","24.3%","44%",101,-86,1.6,1.9,"6.7%",147,"8.6%","12.5%",1.53,0.38
"Upset","FC Schalke 04 Esports","ADC",19,"47%","47%",60,16,69,8.1,"67.9%","31.6%","8.2%","21%",57,0,2.5,10.5,"32.9%",482,"28.5%","27.9%",0.45,0.31
"Vander","Rogue","Support",6,"33%","17%",4,10,24,2.8,"57.1%","8.2%","13.5%","0%",-29,-16,6.8,2.1,"7.8%",104,"6.8%","10.6%",1.69,0.36
"Vizicsacsi","Splyce","Top",17,"59%","47%",56,49,72,2.6,"55.2%","24.1%","23.8%","29%",-141,-74,-1.7,7.7,"21.4%",351,"21.0%","20.6%",0.67,0.21
"WADID","Rogue","Support",12,"0%","42%",8,39,61,1.8,"71.9%","8.3%","21.9%","8%",79,-264,4.6,1.5,"5.2%",107,"7.9%","11.1%",1.33,0.3
"Werlyb","SK Gaming","Top",19,"53%","63%",36,53,89,2.4,"59.0%","17.0%","20.4%","21%",-152,-61,-5.1,7.7,"22.8%",381,"21.8%","21.2%",0.45,0.16
"Wunder","G2 Esports","Top",18,"72%","39%",56,40,107,4.1,"52.6%","18.1%","18.0%","17%",205,144,11,8.6,"24.1%",481,"22.7%","22.5%",0.46,0.15
"Xerxe","Splyce","Jungle",18,"61%","39%",42,34,145,5.5,"73.3%","16.5%","15.9%","50%",180,321,1.9,5.1,"13.3%",263,"14.0%","16.3%",0.49,0.41
