result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,4.463,6.965,5.862,6.368,3.613,6.187,5.826,5.503,5.961,5.788,27.271,29.264999999999997
1,6.174,5.677,5.503,6.212,5.788,4.463,6.138,5.862,6.368,3.613,29.354,26.444000000000003
0,5.957,6.0,3.815,5.879,3.0,6.705,3.0,5.412,4.392,6.5,24.651,26.009
1,6.607,6.114,5.348,4.095,3.95,5.113,6.0,3.558,5.879,4.813,26.113999999999997,25.362999999999996
0,2.05,4.787,5.187,5.75,6.116,4.123,4.051,6.62,5.822,5.211,23.89,25.826999999999998
0,3.773,3.235,6.269,5.822,4.989,1.81,5.802,5.377,5.75,6.706,24.088,25.445
1,1.566,5.464,5.377,5.78,6.706,3.258,3.631,6.284,5.089,4.989,24.893,23.251
1,6.162,6.445,6.35,5.719,4.861,5.288,3.485,5.766,5.234,4.315,29.537000000000003,24.088
0,5.177,3.215,5.766,5.234,4.315,6.162,6.445,6.35,5.559,6.745,23.707,31.261000000000003
1,5.145,3.574,6.368,6.658,6.347,5.113,6.603,4.41,5.084,3.474,28.092000000000002,24.684
0,5.957,6.0,3.815,5.776,3.474,4.738,4.35,5.771,5.744,6.167,25.022000000000002,26.770000000000003
1,6.37,5.784,5.503,6.182,5.219,5.244,4.317,5.705,5.297,3.863,29.058,24.426
0,5.048,4.568,5.705,5.332,3.746,6.187,6.317,5.503,5.961,5.935,24.398999999999997,29.903000000000002
0,4.235,3.631,6.175,5.378,4.754,6.444,5.685,5.412,4.095,3.95,24.173000000000002,25.586
1,6.607,3.0,5.348,4.095,3.95,4.318,3.82,6.284,5.518,4.754,22.999999999999996,24.694000000000003
0,3.951,6.965,5.081,5.825,2.406,6.279,4.554,6.608,5.719,4.868,24.227999999999998,28.028
1,6.279,6.019,5.878,5.624,4.868,4.463,6.603,5.244,5.856,3.617,28.668,25.782999999999998
1,5.145,3.0,5.771,6.303,6.347,5.414,3.849,5.797,5.007,3.432,26.566000000000003,23.499
0,5.118,3.0,5.677,5.007,3.479,5.034,4.35,5.441,6.303,6.347,22.281,27.475
1,1.81,5.094,5.577,6.138,6.706,5.244,4.054,4.515,5.197,3.638,25.325,22.647999999999996
0,5.31,3.0,4.515,4.887,3.131,1.717,5.802,6.098,6.138,6.706,20.843,26.461000000000002
1,5.268,4.215,5.677,4.384,3.664,3.773,4.051,6.63,5.505,5.522,23.208000000000002,25.481
0,4.235,3.206,6.175,5.518,5.351,5.268,3.849,5.607,3.917,3.726,24.485,22.366999999999997
1,6.162,6.068,6.35,5.909,4.861,1.81,5.094,5.377,5.78,6.706,29.349999999999998,24.767
0,1.81,5.094,4.527,5.574,5.799,6.162,5.957,6.35,5.624,5.225,22.804000000000002,29.317999999999998
1,6.187,5.861,5.714,5.961,5.788,4.958,4.204,5.696,6.658,6.347,29.511,27.863
1,5.03,4.43,5.696,6.303,6.347,6.187,6.317,5.503,5.961,5.829,27.806,29.797000000000004
0,5.334,5.906,5.503,6.345,5.866,4.969,4.35,5.976,6.038,6.483,28.953999999999997,27.816
1,5.618,4.112,4.136,5.532,3.131,5.65,6.546,4.41,5.873,3.533,22.529,26.012000000000004
1,5.681,7.153,3.972,5.873,4.049,4.156,3.497,4.136,5.928,3.131,26.728,20.848
1,5.778,3.15,4.515,5.89,3.131,5.65,6.91,4.093,5.873,3.533,22.464,26.059
0,4.607,6.965,6.225,6.304,3.48,4.274,3.569,6.618,5.524,5.211,27.581,25.195999999999998
1,4.235,3.631,6.58,5.359,5.298,4.745,6.906,4.79,6.368,2.406,25.103,25.214999999999996
1,5.749,6.338,6.35,5.559,4.861,6.444,3.0,5.412,4.193,6.086,28.857,25.134999999999998
0,6.677,5.685,5.722,3.945,6.505,6.162,6.338,5.824,5.624,5.288,28.534,29.235999999999997
0,5.778,4.112,4.396,5.532,3.877,5.268,4.642,5.581,5.178,3.479,23.695,24.148
