result,red_team,blue_team
0,Jin Air Green Wings,SK Telecom T1
1,SK Telecom T1,Jin Air Green Wings
0,Gen.G,DAMWON Gaming
1,DAMWON Gaming,Gen.G
0,Hanwha Life Esports,KT Rolster
0,KT Rolster,Hanwha Life Esports
1,Hanwha Life Esports,KT Rolster
1,Griffin,Kingzone DragonX
0,Kingzone DragonX,Griffin
1,SANDBOX Gaming,Gen.G
0,Gen.G,SANDBOX Gaming
1,SK Telecom T1,Afreeca Freecs
0,Afreeca Freecs,SK Telecom T1
0,KT Rolster,DAMWON Gaming
1,DAMWON Gaming,KT Rolster
0,Jin Air Green Wings,Griffin
1,Griffin,Jin Air Green Wings
1,SANDBOX Gaming,Kingzone DragonX
0,Kingzone DragonX,SANDBOX Gaming
1,Hanwha Life Esports,Afreeca Freecs
0,Afreeca Freecs,Hanwha Life Esports
1,Kingzone DragonX,KT Rolster
0,KT Rolster,Kingzone DragonX
1,Griffin,Hanwha Life Esports
0,Hanwha Life Esports,Griffin
1,SK Telecom T1,SANDBOX Gaming
1,SANDBOX Gaming,SK Telecom T1
0,SK Telecom T1,SANDBOX Gaming
1,Afreeca Freecs,Gen.G
1,Gen.G,Afreeca Freecs
1,Afreeca Freecs,Gen.G
0,Jin Air Green Wings,KT Rolster
1,KT Rolster,Jin Air Green Wings
1,Griffin,DAMWON Gaming
0,DAMWON Gaming,Griffin
0,Afreeca Freecs,Kingzone DragonX
1,Kingzone DragonX,Afreeca Freecs
0,Hanwha Life Esports,SANDBOX Gaming
1,SANDBOX Gaming,Hanwha Life Esports
0,DAMWON Gaming,SK Telecom T1
0,SK Telecom T1,DAMWON Gaming
0,DAMWON Gaming,SK Telecom T1
1,Gen.G,Jin Air Green Wings
1,Jin Air Green Wings,Gen.G
1,Gen.G,Jin Air Green Wings
1,SANDBOX Gaming,DAMWON Gaming
1,DAMWON Gaming,SANDBOX Gaming
1,SANDBOX Gaming,DAMWON Gaming
0,Jin Air Green Wings,Afreeca Freecs
1,Afreeca Freecs,Jin Air Green Wings
0,SK Telecom T1,Griffin
1,Griffin,SK Telecom T1
1,KT Rolster,Gen.G
1,Gen.G,KT Rolster
0,KT Rolster,Gen.G
0,DAMWON Gaming,Kingzone DragonX
