result,red_team,blue_team
0,Cloud9,Team Liquid
1,Team SoloMid,100 Thieves
1,OpTic Gaming,Counter Logic Gaming
0,Golden Guardians,FlyQuest
0,Echo Fox,Clutch Gaming
0,OpTic Gaming,FlyQuest
0,100 Thieves,Cloud9
0,Counter Logic Gaming,Team Liquid
0,Team SoloMid,Clutch Gaming
0,Golden Guardians,Echo Fox
1,Team SoloMid,Echo Fox
0,Golden Guardians,Cloud9
1,Team Liquid,100 Thieves
1,Counter Logic Gaming,FlyQuest
1,OpTic Gaming,Clutch Gaming
1,100 Thieves,Golden Guardians
0,OpTic Gaming,Echo Fox
0,Clutch Gaming,Team Liquid
1,FlyQuest,Team SoloMid
1,Counter Logic Gaming,Cloud9
0,Clutch Gaming,100 Thieves
1,Team Liquid,FlyQuest
1,Cloud9,Team SoloMid
1,Counter Logic Gaming,Echo Fox
1,Golden Guardians,OpTic Gaming
1,Echo Fox,FlyQuest
1,Cloud9,Clutch Gaming
0,OpTic Gaming,Team Liquid
1,Golden Guardians,Team SoloMid
0,Counter Logic Gaming,100 Thieves
0,OpTic Gaming,Team SoloMid
1,Team Liquid,Golden Guardians
0,Echo Fox,Cloud9
1,FlyQuest,100 Thieves
1,Counter Logic Gaming,Clutch Gaming
1,Echo Fox,100 Thieves
0,Counter Logic Gaming,Golden Guardians
1,Team SoloMid,Team Liquid
1,FlyQuest,Clutch Gaming
0,OpTic Gaming,Cloud9
1,OpTic Gaming,100 Thieves
0,Echo Fox,Team Liquid
1,Clutch Gaming,Golden Guardians
0,FlyQuest,Cloud9
1,Team SoloMid,Counter Logic Gaming
1,Golden Guardians,Echo Fox
1,OpTic Gaming,Clutch Gaming
0,Counter Logic Gaming,Cloud9
0,FlyQuest,Team SoloMid
0,100 Thieves,Team Liquid
1,100 Thieves,Clutch Gaming
1,Team SoloMid,Echo Fox
0,Golden Guardians,Cloud9
1,Counter Logic Gaming,FlyQuest
0,OpTic Gaming,Team Liquid
0,Echo Fox,Clutch Gaming
0,100 Thieves,Golden Guardians
0,Team SoloMid,Cloud9
0,Counter Logic Gaming,Team Liquid
0,FlyQuest,OpTic Gaming
1,Golden Guardians,Counter Logic Gaming
0,Cloud9,Team Liquid
1,Team SoloMid,100 Thieves
1,FlyQuest,Clutch Gaming
1,OpTic Gaming,Echo Fox
