result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,3.0,0.8,9.042,19.266,9.034,5.39,5.593,3.0,6.108,15.964,41.141999999999996,36.055
1,5.39,5.565,3.687,19.266,9.034,3.0,3.303,6.49,6.108,5.749,42.942,24.65
1,3.0,5.565,8.559,19.266,2.751,3.0,16.145,0.367,12.086,10.223,39.141,41.821
0,3.0,3.303,6.49,6.108,3.0,5.39,5.565,8.415,19.266,3.389,21.901,42.025
0,5.39,3.168,3.0,12.086,10.223,3.0,5.565,8.415,12.614,2.751,33.867,32.345
0,5.39,5.565,9.042,12.614,10.223,3.0,0.8,8.559,9.134,3.389,42.834,24.881999999999998
0,3.0,5.113,5.087,9.134,9.034,3.0,5.565,3.0,19.266,15.964,31.368000000000002,46.795
0,6.441,5.565,4.728,6.108,9.034,3.0,5.593,8.559,12.086,10.223,31.876000000000005,39.461
0,3.0,8.129,6.49,9.134,5.749,3.0,5.593,10.155,19.266,13.112,32.502,51.126
0,3.0,5.593,8.415,19.266,10.223,3.0,3.168,3.0,12.086,2.751,46.497,24.005
1,3.0,5.113,8.559,19.266,13.112,3.0,5.593,5.087,10.596,3.389,49.05,27.665
0,3.0,5.593,4.817,1.541,13.112,3.0,5.565,9.042,19.266,15.964,28.063000000000002,52.836999999999996
1,5.39,5.593,10.155,12.086,10.223,1.444,16.145,6.49,4.646,15.964,43.446999999999996,44.689
1,5.39,2.64,4.728,19.266,13.112,3.0,5.593,5.253,1.541,15.964,45.136,31.351
1,5.39,5.593,4.705,9.134,5.749,3.0,2.733,10.155,19.266,13.112,30.571,48.266
1,3.0,5.565,5.087,19.266,15.964,3.0,5.113,8.559,9.134,0.367,48.882,26.173
0,3.0,0.367,3.687,19.266,13.112,3.0,0.8,8.559,9.134,5.749,39.432,27.241999999999997
0,3.0,3.303,8.559,4.639,1.323,3.0,5.593,3.0,12.614,15.964,20.823999999999998,40.171
1,3.0,0.8,9.042,9.134,3.389,3.0,5.565,5.253,19.266,15.964,25.365,49.048
1,5.39,5.565,3.687,19.266,13.112,3.0,5.593,3.0,9.134,15.964,47.02,36.691
0,3.0,3.0,9.042,19.266,15.964,3.0,19.387,8.559,1.14,9.034,50.272,41.12
1,3.0,8.129,5.253,9.134,9.034,3.0,0.8,4.817,12.086,10.223,34.55,30.926000000000002
1,3.0,5.565,8.415,19.266,15.964,5.39,3.303,8.559,6.108,3.0,52.209999999999994,26.36
1,3.0,16.145,5.253,19.266,13.112,3.0,5.113,4.728,9.134,5.749,56.776,27.724
1,5.39,5.113,3.0,19.266,15.964,3.0,0.8,8.559,9.134,5.749,48.733,27.241999999999997
1,3.0,8.129,2.503,19.266,15.964,6.441,5.113,8.559,6.108,3.389,48.861999999999995,29.61
1,5.39,5.113,8.415,19.266,1.517,3.0,5.593,8.559,12.614,9.034,39.701,38.800000000000004
0,5.39,8.129,5.253,19.266,15.964,3.0,0.8,3.0,12.614,9.034,54.001999999999995,28.448
1,5.39,19.387,3.0,19.266,13.112,3.0,5.565,8.559,12.614,9.034,60.155,38.772000000000006
0,3.0,2.64,3.0,6.108,5.749,3.0,5.565,5.087,19.266,15.964,20.497,48.882
0,5.39,3.303,9.042,3.767,5.749,3.0,8.129,3.0,5.115,9.034,27.250999999999998,28.278
1,5.39,8.129,5.253,12.614,9.034,3.0,2.933,1.36,3.127,13.112,40.42,23.532
0,5.39,5.593,8.559,6.398,3.0,3.0,8.129,5.253,12.614,9.034,28.94,38.03
1,2.557,16.145,9.042,19.266,15.964,3.0,13.199,0.733,3.127,13.112,62.974,33.171
1,5.39,13.199,1.4,4.217,13.112,3.0,5.593,3.0,12.614,9.034,37.318,33.241
1,1.433,13.199,9.042,12.614,9.034,3.0,3.303,8.559,3.127,13.112,45.321999999999996,31.101
0,3.0,8.129,5.253,12.614,13.112,3.0,5.593,4.728,3.127,5.749,42.108,22.197
1,2.229,16.145,9.042,9.134,5.749,1.444,5.593,5.253,12.614,9.034,42.299,33.938
1,2.557,5.593,9.042,9.134,5.749,5.39,3.168,4.817,19.266,15.964,32.075,48.605
0,5.39,3.303,1.183,9.134,3.389,3.0,5.113,9.042,12.086,10.223,22.398999999999997,39.464
1,3.0,5.113,5.087,12.614,13.112,3.0,3.303,8.559,19.266,15.964,38.926,50.092
0,3.0,2.933,9.042,9.134,15.964,3.0,16.145,4.728,19.266,13.112,40.073,56.251
1,3.0,16.145,6.113,9.847,9.034,6.441,5.593,3.0,1.935,3.389,44.138999999999996,20.357999999999997
0,3.0,16.145,4.817,1.935,9.034,3.0,3.481,10.25,5.115,3.0,34.931,24.846000000000004
1,3.0,16.145,2.336,9.134,5.749,3.0,19.387,3.0,19.266,3.0,36.364,47.653
1,3.0,5.593,3.0,3.767,9.034,5.39,13.199,3.0,19.266,15.964,24.394,56.818999999999996
1,3.0,3.0,9.042,9.134,5.749,1.433,5.113,5.253,6.108,15.964,29.925,33.871
0,1.444,13.199,4.728,9.134,3.0,3.0,16.145,10.25,12.614,9.034,31.505000000000003,51.043
0,3.0,5.113,9.042,12.614,9.034,3.0,16.145,10.25,6.398,13.112,38.803000000000004,48.905
0,3.0,16.145,10.25,9.134,5.749,3.0,4.644,4.728,19.266,13.112,44.278,44.75
1,2.557,13.199,5.087,19.266,15.964,3.355,5.113,10.25,9.134,9.034,56.07299999999999,36.886
1,3.0,16.145,4.817,19.266,9.034,6.441,13.199,9.042,2.617,3.0,52.26199999999999,34.29900000000001
0,3.0,2.733,4.817,3.767,13.112,3.0,9.513,4.728,2.617,9.034,27.429000000000002,28.892000000000003
1,2.229,16.145,9.042,12.614,15.964,2.557,3.303,4.728,19.266,9.034,55.994,38.888
0,0.367,5.113,9.042,12.614,9.034,6.441,13.199,4.817,19.266,3.0,36.17,46.723
0,1.444,13.199,5.253,19.266,3.0,3.0,8.129,3.0,9.847,9.034,42.162,33.01
0,2.557,2.933,3.0,19.266,15.964,3.0,8.129,9.042,6.108,9.034,43.72,35.313
0,2.11,8.129,9.042,6.398,13.112,3.0,3.481,3.0,5.115,3.0,38.791,17.596
0,3.0,13.199,4.728,12.614,15.964,3.0,5.593,5.253,19.266,13.112,49.504999999999995,46.224
0,3.0,13.199,8.559,9.134,3.0,6.441,9.513,3.687,2.617,13.112,36.891999999999996,35.370000000000005
1,6.441,19.387,4.817,1.541,5.749,5.39,13.199,5.087,19.266,13.112,37.935,56.053999999999995
0,3.0,19.387,5.253,12.086,10.223,3.0,16.145,4.728,9.134,3.0,49.949,36.007
1,2.557,5.113,4.817,19.266,13.112,3.0,13.199,5.253,12.614,9.034,44.865,43.1
1,3.0,5.113,8.559,4.217,15.964,3.355,9.513,5.087,9.134,9.034,36.852999999999994,36.123
1,1.444,16.145,3.0,3.767,15.964,3.0,4.644,4.728,19.266,13.112,40.32,44.75
1,6.441,5.593,4.817,19.266,13.112,3.0,13.199,3.0,2.617,15.964,49.229,37.78
1,2.229,3.481,8.559,4.217,15.964,3.0,16.145,5.087,2.617,9.034,34.449999999999996,35.883
0,3.0,16.145,4.817,1.541,13.112,3.0,13.199,3.0,19.266,3.0,38.615,41.464999999999996
0,3.0,13.199,8.559,19.266,9.034,3.0,16.145,5.253,8.143,3.0,53.05799999999999,35.541
0,3.0,2.933,5.253,3.127,13.112,3.0,13.199,8.559,9.847,9.034,27.424999999999997,43.638999999999996
0,1.444,16.145,0.8,3.127,13.112,3.0,9.513,3.0,12.614,15.964,34.628,44.091
0,3.0,2.733,4.728,6.108,9.034,3.0,9.513,5.253,1.14,15.964,25.603,34.87
1,3.0,13.199,6.705,4.217,15.964,3.0,9.513,10.155,1.14,3.0,43.084999999999994,26.808
1,3.0,9.513,8.559,3.767,3.0,3.0,3.518,2.503,1.14,15.964,27.839,26.125
1,3.0,9.513,4.817,12.086,10.223,3.0,13.199,9.042,19.266,15.964,39.638999999999996,60.471
1,3.0,9.513,3.0,4.217,13.112,3.0,5.113,5.253,9.134,9.034,32.842,31.534
1,3.0,5.113,2.336,6.108,3.0,3.0,9.505,8.559,19.266,5.749,19.557,46.079
0,3.0,19.387,8.559,4.217,5.749,3.0,13.199,2.503,12.086,10.223,40.912,41.010999999999996
1,3.0,9.505,3.0,19.266,15.964,6.441,9.513,4.817,1.14,10.223,50.735,32.134
0,2.11,9.513,5.253,6.108,15.964,3.0,5.113,8.559,3.767,9.034,38.948,29.473
0,3.0,13.199,3.687,2.217,13.112,3.0,3.481,8.559,6.398,15.964,35.214999999999996,37.402
0,3.0,9.513,3.0,4.217,13.112,3.0,13.199,8.559,2.217,1.323,32.842,28.297999999999995
1,3.0,9.505,5.087,6.108,3.0,3.0,2.733,8.559,12.086,10.223,26.7,36.601
0,3.0,9.513,4.817,12.086,10.223,3.0,13.199,3.42,4.217,13.112,39.638999999999996,36.948
1,3.0,16.145,5.253,3.767,15.964,3.0,13.199,8.415,12.086,10.223,44.129,46.922999999999995
1,0.8,9.513,0.8,6.398,13.112,3.0,5.113,8.559,6.108,15.964,30.623000000000005,38.744
1,3.0,16.145,1.4,4.217,3.0,2.11,9.513,9.042,6.108,5.749,27.761999999999997,32.522
0,3.0,5.593,3.0,12.086,10.223,6.367,9.513,8.559,4.217,15.964,33.902,44.62
