result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
1,5.706,5.234,6.989,4.48,6.172,3.445,4.567,5.556,5.459,4.236,28.581000000000003,23.263
0,5.306,6.185,5.773,5.282,4.235,6.09,3.736,6.233,5.839,6.324,26.781,28.222
1,6.308,6.305,2.957,5.606,4.519,3.849,5.871,6.291,6.399,4.434,25.695,26.844000000000005
1,4.837,4.445,2.782,3.142,4.474,3.514,6.284,4.766,2.552,5.911,19.68,23.027
1,5.09,6.244,5.133,3.908,5.305,3.092,3.526,5.348,5.018,5.011,25.68,21.995
0,6.503,3.0,2.957,5.606,4.519,5.033,6.244,5.293,4.025,5.716,22.585,26.311
0,3.004,6.284,4.503,2.446,5.911,5.151,3.0,5.851,5.436,4.249,22.148000000000003,23.686999999999998
1,3.853,5.871,5.524,5.695,5.035,6.09,4.571,5.649,5.434,6.422,25.978,28.166
0,5.051,4.732,6.989,4.318,5.696,4.993,4.125,3.878,3.137,5.232,26.786,21.365
1,3.712,3.0,5.594,4.887,4.747,4.215,3.0,6.318,4.363,3.775,21.94,21.671
0,4.261,4.776,6.318,5.459,3.914,3.853,6.163,5.654,6.241,5.15,24.728,27.061
1,5.84,3.463,5.906,5.601,6.667,3.39,6.484,4.576,2.446,5.8,27.476999999999997,22.696
0,5.151,5.841,5.851,5.519,4.235,4.992,7.314,5.144,3.809,6.003,26.597,27.262000000000004
0,5.051,5.234,6.627,4.48,6.561,5.448,5.68,2.957,5.101,4.39,27.953,23.576
1,4.837,3.0,3.049,3.386,5.232,3.637,3.0,6.17,4.678,4.424,19.503999999999998,21.909
0,3.742,5.045,5.156,4.775,3.914,6.308,6.126,3.461,5.101,4.519,22.631999999999998,25.515
0,5.151,5.353,5.594,5.519,4.235,5.535,5.471,6.989,4.765,6.561,25.851999999999997,29.321
0,2.877,5.632,4.258,2.722,6.254,5.282,5.94,5.161,3.678,5.305,21.743,25.366000000000003
0,3.438,3.0,5.196,4.842,4.904,5.84,2.923,5.906,5.435,6.422,21.38,26.526
1,3.849,5.953,5.995,6.131,5.072,4.924,4.43,3.878,3.137,5.232,27.0,21.601
1,4.662,6.805,5.512,3.787,5.287,4.89,5.55,6.959,4.036,6.172,26.052999999999997,27.607000000000003
1,5.9,6.305,3.563,5.606,3.621,6.176,3.736,6.233,5.856,6.422,24.995,28.423
0,3.39,6.484,4.188,2.875,5.687,4.215,4.885,5.334,4.917,3.449,22.624000000000002,22.799999999999997
0,4.993,4.142,2.589,3.204,5.306,5.631,6.798,5.483,5.192,4.965,20.234,28.069
0,3.092,3.17,4.903,4.887,5.011,3.849,6.038,5.995,6.475,4.992,21.063,27.349
0,6.974,3.174,5.671,5.353,6.667,5.003,7.314,5.043,3.773,6.267,27.839,27.4
1,6.308,5.68,2.995,5.101,3.621,5.306,6.149,5.65,5.192,4.965,23.705,27.262
1,3.211,3.685,5.353,5.424,4.904,4.704,5.234,6.834,4.48,6.172,22.576999999999998,27.424
1,3.853,5.953,5.941,6.475,5.15,2.877,6.81,4.766,2.722,5.8,27.372,22.975
0,3.445,4.885,5.211,4.917,3.449,5.028,4.43,3.018,2.761,5.232,21.906999999999996,20.468999999999998
0,4.973,4.445,2.782,3.373,5.471,5.895,6.126,3.542,5.606,3.953,21.044,25.122
1,5.84,2.923,5.941,5.601,6.907,4.89,5.065,6.583,4.257,5.847,27.212,26.642000000000003
0,3.62,3.0,4.649,2.552,5.687,3.637,3.0,5.553,5.018,5.011,19.508,22.219
0,5.428,5.748,5.468,5.282,4.888,4.215,4.567,5.334,5.3,2.647,26.814,22.063
0,3.603,5.953,5.995,6.072,5.024,4.724,6.244,5.144,3.787,5.287,26.647000000000002,25.186
1,3.211,3.17,5.353,5.424,4.904,5.9,5.68,2.957,5.606,4.099,22.062,24.242
0,3.39,6.243,4.766,2.72,5.113,5.535,5.471,6.989,4.036,6.572,22.232,28.602999999999998
0,4.993,3.926,3.224,3.204,5.232,6.004,3.463,5.665,5.073,6.26,20.579,26.464999999999996
0,5.151,6.343,5.592,5.268,4.888,3.849,5.644,5.941,6.241,4.071,27.241999999999997,25.746000000000002
0,3.975,4.567,5.53,4.755,3.119,5.003,7.314,5.057,3.773,5.275,21.945999999999998,26.422000000000004
0,5.769,4.415,5.649,5.831,6.379,4.572,4.741,5.53,4.775,3.914,28.043,23.532000000000004
0,5.275,6.279,5.468,5.268,4.888,3.637,3.526,5.722,4.734,4.792,27.177999999999997,22.411
1,5.051,5.55,6.559,4.19,6.561,3.849,6.225,5.796,6.213,5.035,27.911,27.118000000000002
1,5.895,6.077,2.995,5.606,3.621,3.514,6.093,4.681,2.531,5.8,24.194,22.619
1,4.724,7.692,5.161,3.082,5.716,4.837,4.43,2.525,2.761,4.914,26.375,19.467
0,4.215,4.567,5.211,5.098,3.914,5.051,5.035,6.821,4.48,5.847,23.005000000000003,27.234
0,5.477,5.841,5.594,5.436,4.649,6.004,4.571,5.587,5.773,6.422,26.997000000000003,28.357
1,3.849,6.225,5.933,6.241,4.434,6.509,6.126,2.965,5.318,3.967,26.682,24.884999999999998
1,3.514,4.957,4.681,2.446,5.8,4.837,4.445,2.525,3.137,5.446,21.398,20.39
1,3.211,2.948,5.549,4.842,4.39,5.354,7.05,4.915,3.545,6.267,20.94,27.130999999999997
0,6.503,6.086,2.957,5.606,4.064,4.847,7.692,5.043,3.932,5.275,25.216,26.789
1,2.877,6.545,4.649,2.722,5.687,5.275,5.89,5.76,5.472,4.649,22.480000000000004,27.046
1,4.477,6.578,6.043,6.131,4.992,6.176,3.122,5.774,5.601,6.925,28.221,27.598
1,5.898,4.142,2.589,2.567,5.21,4.704,5.007,6.821,4.036,6.172,20.406,26.74
0,3.637,3.0,5.623,4.842,4.424,3.445,5.045,5.298,4.917,4.094,21.526,22.799
1,4.724,7.692,4.653,4.025,5.873,5.159,6.798,5.483,5.268,4.888,26.967000000000002,27.596000000000004
0,6.503,6.305,3.266,5.101,3.34,5.02,4.732,6.989,4.48,6.572,24.514999999999997,27.793
1,5.028,4.109,2.966,3.204,5.232,3.454,2.948,5.517,5.271,4.747,20.539,21.937
1,6.004,3.509,5.941,5.542,6.907,3.514,6.545,4.681,2.531,5.8,27.903000000000002,23.070999999999998
0,4.477,6.578,5.711,6.074,4.434,3.895,5.045,5.298,5.459,2.647,27.273999999999997,22.343999999999998
0,5.381,2.923,5.774,5.542,6.26,3.211,3.65,5.823,4.734,4.792,25.879999999999995,22.21
1,5.144,6.343,5.594,5.268,4.888,4.89,5.035,6.559,4.765,6.561,27.237000000000002,27.810000000000002
0,5.028,4.292,2.966,3.204,4.474,3.707,6.225,5.941,6.157,4.434,19.964000000000002,26.464
0,3.201,6.545,4.868,2.446,5.687,5.024,7.041,5.057,3.773,5.287,22.747000000000003,26.182
0,6.516,6.077,3.563,5.101,3.967,5.154,5.013,5.763,5.3,2.647,25.223999999999997,23.877
1,5.706,4.914,6.959,4.19,5.847,5.024,7.105,5.384,4.025,5.716,27.616000000000003,27.254000000000005
1,3.0,4.415,5.671,5.971,5.729,6.308,6.126,3.275,5.606,3.34,24.786,24.655
0,3.458,6.509,4.386,2.446,5.8,4.063,4.367,5.763,5.3,2.647,22.599000000000004,22.139999999999997
0,5.477,5.841,5.592,5.268,4.852,4.973,4.292,3.018,3.142,5.306,27.03,20.731
0,3.38,5.871,5.796,6.475,4.434,3.225,3.034,5.354,5.018,4.792,25.956,21.423000000000002
1,5.941,4.415,5.906,5.434,6.379,5.024,6.244,5.043,4.025,5.873,28.075000000000003,26.209
1,5.144,6.343,5.483,5.005,4.649,6.516,6.419,3.312,5.101,3.967,26.624,25.314999999999998
1,3.454,3.034,5.623,4.734,4.424,5.139,5.471,6.958,4.48,6.172,21.269,28.22
0,3.47,5.041,4.503,2.183,5.113,3.909,5.751,5.995,6.131,4.748,20.310000000000002,26.534000000000002
0,5.067,4.58,2.525,2.567,5.21,4.063,4.345,5.53,5.459,3.914,19.949,23.311
1,6.308,6.419,3.312,5.632,3.967,4.572,4.142,2.257,2.761,5.007,25.637999999999998,18.738999999999997
1,5.769,3.174,5.774,5.34,6.379,5.02,4.732,6.989,4.765,6.439,26.436,27.945
1,4.044,5.013,5.483,5.083,3.914,5.525,6.343,5.594,5.463,4.965,23.537,27.89
1,3.247,3.034,5.354,5.424,5.212,4.428,5.376,4.386,2.677,5.687,22.271,22.554000000000002
1,5.111,7.05,4.735,2.917,5.873,4.477,5.751,5.836,6.072,5.243,25.686000000000003,27.378999999999998
1,6.063,3.174,5.748,5.34,6.422,4.699,4.125,2.782,3.137,4.855,26.747,19.598
0,4.428,6.509,4.74,2.915,5.113,4.89,6.168,6.959,4.027,6.439,23.705000000000002,28.483
0,4.885,7.105,4.865,3.621,5.716,4.387,5.013,5.345,5.459,2.647,26.192,22.850999999999996
0,3.38,4.906,6.305,5.695,5.024,5.525,6.798,5.483,5.436,4.235,25.310000000000002,27.477
1,3.421,3.034,4.986,4.842,4.747,6.36,6.483,2.957,5.101,3.967,21.029999999999998,24.868
1,5.898,4.695,3.092,3.137,5.232,5.111,7.041,5.057,3.809,5.287,22.054,26.305000000000003
1,6.225,6.419,2.957,5.101,3.363,3.744,6.839,4.386,2.72,5.911,24.064999999999998,23.6
1,4.838,4.914,6.989,4.19,5.847,4.477,6.038,5.941,6.072,4.748,26.778000000000002,27.276
1,3.211,4.068,4.986,4.749,4.424,5.275,6.343,5.769,5.463,4.649,21.438,27.499000000000002
0,6.094,3.174,5.906,5.773,6.379,5.154,4.655,5.298,5.083,3.914,27.326,24.104000000000003
