result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
1,12.811,94.92,86.474,69.041,29.944,10.0,53.387,65.366,63.052,24.677,293.19,216.48199999999997
0,18.312,10.471,19.896,23.083,32.37,24.94,49.239,19.088,11.659,16.843,104.132,121.769
1,53.107,28.786,15.108,78.388,32.46,10.0,70.903,10.0,15.3,38.853,207.84900000000002,145.056
1,20.654,30.23,36.92,28.506,44.871,10.0,16.887,55.182,10.0,31.312,161.181,123.381
1,22.069,63.312,13.352,12.986,93.022,10.0,52.605,10.0,26.82,21.034,204.741,120.45899999999997
0,14.671,15.0,15.108,78.388,32.46,20.487,63.312,31.081,42.322,53.795,155.627,210.997
0,10.0,16.887,41.432,10.0,31.312,21.232,15.0,33.345,58.222,10.0,109.631,137.799
1,10.036,70.903,10.0,10.0,10.0,24.94,14.926,17.774,56.701,67.989,110.93900000000001,182.33
0,12.148,10.0,86.474,18.359,28.307,42.286,30.631,18.689,45.997,44.225,155.28799999999998,181.828
1,10.0,10.0,29.344,39.558,36.575,10.0,15.0,22.763,10.0,33.789,125.477,91.552
0,10.0,10.0,22.763,63.052,34.643,10.036,54.261,53.919,68.839,30.157,140.458,217.21200000000002
1,22.944,47.155,41.923,57.077,55.741,10.0,45.677,10.752,10.0,36.849,224.83999999999997,113.27799999999999
0,21.232,15.206,33.345,38.098,32.37,33.408,71.642,79.271,13.94,22.35,140.251,220.611
0,12.148,94.92,25.498,69.041,62.857,16.288,11.257,15.108,55.85,22.334,264.464,120.83700000000002
1,20.654,15.0,52.106,26.352,44.225,14.51,10.0,47.069,10.0,44.908,158.337,126.48700000000001
0,10.563,20.487,20.449,59.394,34.643,53.107,55.179,17.798,55.85,32.46,145.536,214.394
0,21.232,22.64,17.126,38.098,32.37,24.368,59.328,86.474,57.736,62.857,131.466,290.76300000000003
0,10.0,43.993,14.611,18.797,10.0,70.309,10.003,45.153,73.309,93.022,97.401,291.796
0,10.0,10.0,37.263,37.049,40.424,22.944,16.69,41.923,47.393,67.989,134.736,196.939
1,10.0,32.478,42.749,31.159,10.0,13.329,10.0,18.689,45.997,44.225,126.386,132.24
1,13.025,155.403,29.939,62.478,42.799,19.659,35.185,40.72,27.642,29.944,303.64399999999995,153.14999999999998
1,10.0,28.786,25.23,78.388,10.222,16.636,49.239,19.088,10.0,67.989,152.626,162.952
0,10.0,45.677,10.706,10.0,40.164,10.0,10.262,26.673,63.393,11.66,116.547,121.988
0,42.286,34.14,10.0,37.059,10.0,24.238,127.37,11.762,20.984,32.579,133.485,216.93300000000002
0,10.0,28.402,10.0,39.558,21.034,10.0,54.083,42.749,77.678,29.871,108.994,214.381
0,22.073,51.826,40.067,10.0,55.741,22.008,71.642,23.784,26.513,28.505,179.707,172.452
1,53.107,11.257,26.388,55.85,10.222,18.312,47.111,10.0,20.984,32.579,156.824,128.98600000000002
1,23.792,10.0,28.49,28.065,40.424,16.367,94.92,26.073,69.041,29.944,130.771,236.345
1,10.036,32.478,29.991,77.678,30.157,10.0,104.12,55.182,18.797,36.849,180.34,224.948
0,10.0,10.262,10.0,63.393,11.66,10.0,46.173,36.882,10.0,44.225,105.315,147.28
0,10.0,30.23,36.92,10.0,60.19,24.44,55.179,23.907,78.388,10.0,147.34,191.914
1,22.944,16.69,55.064,57.077,34.882,19.659,10.0,18.309,15.244,32.619,186.657,95.831
0,10.0,15.0,10.214,10.0,40.164,14.51,15.0,16.234,26.82,21.034,85.378,93.59799999999998
0,,,11.575,23.083,24.569,10.0,53.387,26.673,66.564,35.488,,192.112
