result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,4.62,3.0,7.126,3.645,4.458,5.481,6.484,5.362,5.346,6.745,22.849000000000004,29.418
1,6.035,5.45,5.612,3.689,5.811,4.977,3.981,6.441,5.22,5.428,26.597,26.047
1,5.668,6.584,5.952,4.349,4.701,5.452,6.104,4.96,5.844,3.956,27.254,26.316000000000003
0,4.668,4.976,5.828,6.186,5.721,4.526,5.806,5.523,4.554,5.414,27.379,25.823
0,6.08,3.902,5.178,5.916,4.085,5.496,5.758,5.485,6.41,6.749,25.161,29.898
0,6.019,6.584,5.726,4.575,4.169,4.817,3.0,6.725,5.211,5.414,27.073,25.167
0,4.93,4.24,6.596,5.709,5.058,4.794,5.588,7.899,3.645,4.338,26.533,26.264
0,5.819,5.278,5.937,5.277,3.474,5.682,6.484,5.872,5.173,6.803,25.785,30.014
0,6.418,6.241,5.684,3.981,5.824,5.219,6.012,3.567,6.492,5.832,28.147999999999996,27.122
0,4.623,5.465,5.903,5.705,5.538,6.091,3.902,5.249,5.916,4.189,27.233999999999998,25.347
1,6.29,5.591,5.264,3.689,5.31,5.983,5.555,5.289,5.701,5.76,26.144,28.287999999999997
0,4.514,5.465,5.566,6.401,5.367,4.62,5.588,7.126,3.645,4.338,27.313,25.317
1,5.481,6.484,6.268,5.173,6.803,5.101,4.586,6.441,4.904,5.154,30.209,26.186
1,5.13,6.924,5.937,5.509,3.811,4.732,5.863,6.651,5.09,5.481,27.311,27.817
1,6.019,6.013,5.78,5.031,4.068,5.14,6.483,3.567,6.492,5.832,26.911,27.514
1,4.809,4.143,6.596,5.917,5.154,4.926,5.207,5.498,6.078,4.734,26.619,26.442999999999998
0,5.668,6.691,6.157,4.349,4.59,6.647,3.0,4.86,6.029,3.941,27.455,24.477
0,5.496,6.075,3.306,6.522,5.187,6.35,6.484,6.371,5.228,6.745,26.586000000000002,31.178
1,4.732,3.0,7.008,5.211,5.414,6.332,5.45,5.341,3.689,5.639,25.365000000000002,26.451
1,5.13,5.278,6.161,5.509,3.811,4.794,5.879,7.899,4.174,4.338,25.889,27.084
0,5.092,5.339,3.53,6.492,6.064,4.93,3.942,6.07,4.768,5.058,26.517,24.768
1,5.838,6.759,5.927,5.05,6.459,4.7,3.0,6.492,5.135,5.034,30.033,24.360999999999997
1,4.552,5.588,6.601,3.645,4.338,6.035,5.551,5.264,4.071,5.794,24.724,26.715
1,5.686,6.104,5.682,5.509,3.811,5.983,5.324,5.622,6.029,3.941,26.792,26.898999999999997
1,4.803,5.207,5.143,5.705,5.608,5.668,3.0,5.952,5.031,4.068,26.465999999999998,23.719
1,5.934,5.959,4.253,5.46,4.703,4.342,5.847,6.725,5.067,5.414,26.309,27.395000000000003
1,4.284,5.556,6.601,3.645,4.236,4.821,6.012,3.306,6.41,5.173,24.322,25.722
0,6.019,6.312,5.986,4.349,4.387,5.682,3.0,5.362,5.228,6.459,27.053,25.730999999999998
1,4.803,5.2,5.143,5.705,5.367,6.332,5.45,5.264,4.059,5.811,26.218,26.916
0,5.727,6.924,6.025,5.277,3.686,5.124,4.143,6.596,5.917,5.154,27.639000000000003,26.934
0,6.019,6.511,5.726,4.065,4.068,6.332,6.241,5.654,3.3,5.811,26.389000000000003,27.338
1,5.481,6.759,5.927,5.228,6.459,4.926,4.902,5.88,6.322,5.367,29.854000000000003,27.397
0,6.08,5.555,4.86,5.841,5.975,4.62,5.999,7.403,3.816,4.458,28.311,26.296
1,4.768,5.718,7.008,4.554,5.481,5.025,4.317,6.138,5.306,4.797,27.529000000000003,25.583000000000002
1,5.13,5.704,5.767,5.376,3.811,5.496,6.012,3.72,6.41,5.173,25.788,26.811
1,5.974,5.426,4.815,5.878,3.862,4.814,3.981,6.07,5.306,4.797,25.955,24.968
0,5.496,6.275,5.682,5.563,3.811,4.926,5.465,6.235,6.322,5.138,26.827,28.086
1,6.962,6.115,5.158,3.981,5.824,4.956,6.484,5.927,5.228,6.459,28.04,29.054
1,4.768,5.863,7.008,5.211,5.335,4.888,5.013,3.356,6.492,6.064,28.185000000000002,25.813
0,6.019,6.511,6.586,5.031,4.456,4.62,5.556,7.126,4.192,5.088,28.602999999999998,26.582
1,6.162,6.627,6.35,4.575,4.59,4.93,3.981,6.07,5.917,5.154,28.304,26.052
0,5.934,5.329,4.815,6.029,4.703,6.337,6.598,6.154,4.972,6.322,26.81,30.383
1,5.456,6.019,3.617,6.681,5.173,4.695,5.465,5.732,5.843,5.388,26.946000000000005,27.122999999999998
0,4.817,5.718,6.492,5.249,5.096,4.714,5.944,8.218,3.705,4.717,27.372,27.298000000000002
1,6.211,6.115,5.934,3.981,5.824,6.256,5.386,6.025,5.509,4.472,28.064999999999998,27.648000000000003
1,4.926,5.465,5.732,5.563,5.144,6.08,5.426,5.178,5.46,4.703,26.83,26.847
1,6.116,6.21,5.726,5.031,4.068,5.681,5.876,3.238,6.25,6.064,27.150999999999996,27.109
0,4.924,5.704,5.937,5.969,4.472,4.62,5.692,8.218,3.816,4.458,27.006000000000004,26.804000000000002
0,4.714,5.847,7.008,5.086,5.096,6.211,6.115,5.598,4.069,5.31,27.751,27.302999999999997
0,4.814,4.586,6.298,5.709,5.428,4.53,6.636,6.154,4.972,6.322,26.835,28.614
1,4.99,4.317,6.596,5.917,5.154,5.319,5.876,3.917,6.675,5.173,26.974,26.96
1,6.735,6.115,5.205,3.689,5.811,5.677,5.426,4.815,5.976,4.889,27.555,26.782999999999998
0,4.754,5.809,5.566,5.563,5.367,4.852,6.003,7.256,3.682,4.458,27.058999999999997,26.250999999999998
1,5.838,6.104,5.64,5.563,4.075,4.768,6.326,7.042,4.554,5.096,27.22,27.785999999999998
0,5.241,6.627,5.726,4.575,3.727,5.815,6.793,5.829,4.972,6.88,25.895999999999997,30.289
0,5.738,5.426,4.871,5.46,4.889,5.456,6.484,3.96,6.681,5.173,26.384000000000004,27.754000000000005
0,4.99,3.874,6.242,5.917,5.154,4.623,5.684,5.638,6.186,5.144,26.177000000000003,27.275
0,5.958,6.241,5.158,4.069,5.31,4.714,5.944,7.191,3.705,4.717,26.735999999999997,26.271
0,5.727,5.704,5.937,5.563,4.075,5.993,6.484,5.927,4.972,6.322,27.006,29.698
0,4.821,6.102,6.725,5.211,5.917,5.707,6.217,6.157,4.377,4.59,28.776000000000003,27.048
1,4.695,5.2,5.566,6.401,5.138,5.13,5.704,6.105,5.509,3.811,27.0,26.259
0,4.634,5.678,7.403,4.192,5.088,5.993,6.598,6.154,5.05,6.88,26.995,30.675
1,6.437,5.591,5.205,3.689,5.31,5.124,4.317,5.982,5.282,5.058,26.232,25.762999999999998
1,5.131,5.847,6.725,4.099,5.481,5.319,6.377,3.589,6.675,5.173,27.283,27.133000000000003
1,5.67,6.088,5.815,4.065,4.387,5.934,5.485,5.622,5.46,4.874,26.025000000000002,27.375
