result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
1,0.865,1.207,1.148,1.132,0.691,0.712,1.177,1.012,1.042,0.961,5.042999999999999,4.904
0,0.935,0.875,1.072,0.622,0.686,1.168,1.029,1.01,0.919,0.716,4.19,4.842
1,1.067,0.739,0.738,1.078,0.88,0.873,0.985,0.608,0.914,0.914,4.502,4.2940000000000005
1,1.193,0.897,1.189,1.286,0.786,0.866,1.103,1.004,0.431,0.711,5.350999999999999,4.115
1,1.202,1.175,0.931,0.836,1.04,0.945,1.103,0.771,0.987,0.899,5.184,4.705
0,0.867,0.8,0.738,1.078,0.88,1.165,1.175,1.399,0.965,0.925,4.363,5.629
0,1.037,1.103,0.99,0.542,0.711,1.172,0.8,1.041,1.004,0.67,4.383,4.686999999999999
1,0.932,0.985,0.487,0.531,0.498,1.168,1.16,1.024,1.038,1.02,3.433,5.41
0,0.895,0.696,1.148,0.663,0.553,1.07,1.468,0.957,1.175,0.876,3.955,5.546
1,0.569,0.998,1.322,0.873,0.87,0.884,0.8,0.827,0.868,0.902,4.632000000000001,4.281
0,0.769,0.891,0.827,1.042,0.933,0.932,0.847,1.201,0.988,0.729,4.462,4.697
1,1.144,1.361,0.87,0.979,0.871,0.949,0.752,0.885,0.542,0.79,5.225,3.918
0,1.172,0.864,1.041,0.748,0.686,1.494,1.083,1.159,0.817,0.847,4.511,5.4
0,0.895,1.207,1.133,1.132,0.933,0.998,0.758,0.738,0.984,0.99,5.3,4.468
1,1.193,0.8,1.22,1.143,0.876,1.153,0.998,1.204,0.77,0.984,5.232,5.109
0,0.97,1.079,1.15,1.133,0.933,1.067,0.851,1.309,0.984,0.88,5.265,5.091
0,1.172,0.759,1.01,0.748,0.686,1.211,0.941,1.148,1.036,0.933,4.375,5.269
0,0.655,1.031,1.069,0.806,0.659,1.294,0.715,1.151,1.271,1.04,4.22,5.471
0,0.553,0.998,1.001,0.798,0.865,1.144,1.279,0.87,0.878,1.02,4.215,5.191000000000001
