result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
1,3.0,12.452,9.384,12.024,10.17,3.0,8.445,11.482,10.628,6.306,47.03,39.861
0,3.95,2.209,3.0,11.301,16.222,3.0,12.452,3.0,2.366,5.188,36.682,26.005999999999997
1,7.399,8.353,9.384,12.024,9.265,3.0,12.452,3.0,2.865,10.481,46.425,31.798000000000002
1,3.0,8.445,9.384,5.488,16.222,3.0,2.209,11.482,3.842,10.481,42.539,31.013999999999996
1,3.0,7.35,3.0,4.76,16.222,3.0,12.258,3.0,5.488,5.188,34.332,28.933999999999997
0,3.0,0.8,9.384,12.024,9.265,3.0,7.35,3.0,11.301,11.01,34.473,35.661
0,3.0,2.209,9.384,12.024,10.481,3.0,0.8,5.263,10.628,1.767,37.098,21.458
1,3.0,12.452,3.0,5.957,5.188,3.0,2.426,3.0,9.685,10.17,29.596999999999998,28.281
0,3.0,3.489,9.384,9.685,16.222,7.399,3.446,5.263,10.628,11.01,41.78,37.746
1,3.0,2.209,3.0,10.628,10.17,3.0,0.8,5.263,1.524,11.01,29.006999999999998,21.597
0,3.0,2.209,5.263,10.628,10.17,3.0,12.258,6.607,11.301,11.01,31.270000000000003,44.175999999999995
1,3.0,7.35,9.384,10.628,11.01,3.0,12.452,3.0,12.024,10.17,41.372,40.646
0,3.0,3.489,5.263,12.345,16.222,3.0,8.353,11.482,5.488,5.188,40.319,33.511
0,3.0,12.452,3.0,12.024,11.01,3.0,3.446,9.384,11.301,5.188,41.486,32.319
1,3.0,0.8,11.482,5.957,11.01,3.0,2.209,5.263,1.217,10.481,32.249,22.17
0,3.0,3.489,3.0,9.685,10.17,7.399,12.452,3.0,11.301,9.265,29.344,43.417
0,3.0,7.35,3.0,12.345,16.222,3.0,12.258,9.384,11.301,11.01,41.917,46.952999999999996
0,3.0,7.35,3.0,10.628,1.99,7.95,3.297,6.607,12.345,16.222,25.968,46.421
