"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",18,7,11,33.6,191,271,0.7,0.76,-0.22,"-3.1%",45,-6.1,-531,"39%","61%","44%","61%","56%","39%","0%","44%","45%","49.6%","46.9%",3.63,1.4,1.42
"FC Schalke 04 Esports",18,6,12,36.6,221,226,0.98,0.68,-0.45,"-3.9%",39.9,-6.6,-831,"50%","39%","33%","31%","44%","50%","83%","39%","37%","49.9%","49.1%",3.66,1.39,1.57
"Fnatic",18,13,5,31.3,284,215,1.32,0.88,0.76,"7.1%",63.4,8.8,1084,"44%","61%","72%","52%","67%","73%","0%","67%","64%","50.9%","54.0%",3.11,1.17,1.32
"G2 Esports",18,15,3,31.5,354,220,1.61,1.01,1.23,"5.9%",63.9,19.5,1401,"83%","50%","72%","55%","56%","69%","100%","50%","53%","50.1%","55.0%",3.46,1.21,1.42
"MAD Lions",18,11,7,34,234,212,1.1,0.73,-0.28,"0.6%",45.8,15.3,-637,"39%","50%","44%","51%","67%","60%","67%","56%","71%","49.6%","52.0%",3.4,1.42,1.48
"Misfits Gaming",18,10,8,32.8,209,209,1,0.71,-0.03,"0.3%",52.5,3,41,"56%","44%","56%","56%","44%","49%","33%","50%","64%","50.2%","50.4%",3.23,1.21,1.35
"Origen",18,13,5,35.3,232,156,1.49,0.61,0.84,"4.4%",50.1,22.1,595,"44%","44%","72%","66%","22%","49%","0%","67%","78%","49.6%","51.3%",3.64,1.22,1.51
"Rogue",18,9,9,33,197,190,1.04,0.65,0.26,"0.8%",58.2,-8.2,602,"61%","72%","56%","51%","56%","45%","0%","44%","43%","50.4%","49.4%",3.43,1.22,1.24
"SK Gaming",18,4,14,34,141,247,0.57,0.63,-0.96,"-4.8%",42.8,-20.5,-966,"39%","33%","39%","42%","56%","41%","100%","28%","35%","49.9%","45.6%",3.23,1.17,1.38
"Team Vitality",18,2,16,35.5,161,281,0.57,0.69,-0.95,"-7.4%",38.4,-27.3,-757,"44%","44%","11%","36%","33%","29%","0%","6%","19%","49.9%","46.2%",3.72,1.58,1.21
