"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",5,"2.2%","14.8%","48.4%","80%","40%",15,8,21,4.5,"45.0%","17.4%","40%",154,130,3,8.9,"25.4%",443,"21.1%","22.5%",0.49,0.35
"Aatrox","Top",70,"31.4%","14.8%","48.4%","44%","44%",141,175,241,2.2,"56.1%","25.2%","16%",-150,13,-2.3,8,"24.5%",355,"22.3%","22.5%",0.52,0.2
"Akali","Middle",9,"4.0%","26.5%","38.1%","44%","56%",23,17,35,3.4,"59.8%","18.5%","11%",-269,-219,-6.6,8.7,"25.1%",304,"19.3%","23.3%",0.45,0.19
"Akali","Top",17,"7.6%","26.5%","38.1%","65%","53%",44,32,59,3.2,"50.0%","18.8%","29%",162,109,7.5,8.2,"25.5%",431,"23.5%","22.3%",0.39,0.18
"Alistar","Support",13,"5.8%","0.4%","6.3%","62%","85%",5,27,121,4.7,"77.3%","23.5%","31%",60,58,0.1,0.9,"1.9%",104,"6.1%","8.8%",1.76,0.31
"Anivia","Middle",1,"0.4%","0.0%","0.4%","0%","100%",0,4,1,0.3,"20.0%","26.7%","0%",-29,-94,-1,9,"30.4%",241,"14.9%","23.3%",0.57,0.04
"Aphelios","ADC",65,"29.1%","70.0%","99.1%","57%","3%",270,102,274,5.3,"67.8%","14.7%","23%",151,63,4.5,9.9,"33.8%",543,"30.6%","28.7%",0.41,0.43
"Ashe","ADC",5,"2.2%","1.3%","3.6%","40%","100%",8,15,27,2.3,"68.6%","19.5%","40%",-26,-57,2.4,9.4,"34.7%",553,"29.1%","27.8%",0.37,0.4
"Azir","Middle",64,"28.7%","25.1%","53.8%","56%","25%",176,105,266,4.2,"70.0%","16.7%","23%",62,62,4.9,9.5,"28.9%",508,"29.7%","26.3%",0.53,0.33
"Bard","Support",7,"3.1%","0.4%","3.6%","57%","100%",6,10,55,6.1,"74.4%","16.9%","14%",-110,-47,-4.1,1,"3.4%",172,"10.3%","8.9%",2.51,0.58
"Blitzcrank","Support",10,"4.5%","4.9%","9.4%","80%","100%",12,27,65,2.9,"59.7%","30.7%","30%",-164,-158,-7.4,0.9,"1.9%",126,"7.6%","8.2%",1.8,0.29
"Brand","Support",2,"0.9%","0.0%","0.9%","0%","100%",1,5,5,1.2,"100.0%","17.2%","50%",-538,-491,-32.5,0.7,"2.3%",389,"24.5%","9.5%",1.32,0.36
"Braum","Support",47,"21.1%","7.2%","28.3%","53%","66%",16,111,363,3.4,"71.0%","23.0%","15%",-17,50,0.6,1,"2.2%",115,"7.0%","8.1%",1.73,0.34
"Caitlyn","ADC",6,"2.7%","0.4%","3.1%","50%","83%",14,11,27,3.7,"87.2%","19.0%","33%",588,107,23,10.3,"35.0%",600,"34.7%","29.8%",0.39,0.37
"Camille","Top",8,"3.6%","2.2%","5.8%","38%","88%",21,16,16,2.3,"69.8%","20.3%","38%",-57,-186,-6.1,8.6,"26.9%",388,"27.9%","26.0%",0.38,0.22
"Cassiopeia","ADC",3,"1.3%","1.8%","8.1%","33%","67%",9,8,11,2.5,"76.9%","21.1%","0%",327,54,10.3,9.8,"32.9%",344,"24.7%","26.9%",0.45,0.25
"Cassiopeia","Middle",11,"4.9%","1.8%","8.1%","36%","64%",26,28,33,2.1,"68.6%","22.4%","18%",-187,-181,-2.5,8.4,"24.4%",378,"25.7%","23.6%",0.55,0.17
"Corki","Middle",5,"2.2%","1.8%","4.0%","40%","80%",13,8,12,3.1,"73.5%","15.1%","0%",-103,-155,-0.8,10.2,"29.2%",571,"31.3%","27.7%",0.54,0.36
"Darius","Top",1,"0.4%","0.0%","0.4%","0%","100%",2,4,2,1,"80.0%","22.2%","0%",449,334,16,7.1,"26.1%",239,"20.3%","24.7%",0.4,0.16
"Diana","Jungle",4,"1.8%","1.8%","4.5%","50%","100%",10,9,20,3.3,"69.8%","22.5%","25%",204,-19,-0.8,6.3,"17.4%",299,"16.4%","19.7%",0.42,0.33
"Diana","Middle",2,"0.9%","1.8%","4.5%","50%","100%",3,5,7,2,"52.6%","31.3%","0%",-124,-84,-8,7.7,"20.3%",300,"20.9%","19.5%",0.38,0.17
"Ekko","Jungle",1,"0.4%","5.4%","11.7%","100%","100%",6,0,3,9,"69.2%","-","100%",867,-235,-2,7.2,"22.3%",454,"32.9%","22.1%",1.04,0.38
"Ekko","Middle",13,"5.8%","5.4%","11.7%","46%","85%",27,24,58,3.5,"61.6%","16.8%","23%",-156,2,-6.4,9,"27.5%",380,"23.2%","24.0%",0.4,0.29
"Elise","Jungle",38,"17.0%","33.2%","50.2%","50%","45%",89,86,168,3,"67.6%","19.2%","47%",-76,-42,-1.5,5.2,"14.6%",279,"16.1%","17.1%",1.08,0.6
"Ezreal","ADC",54,"24.2%","7.2%","31.4%","46%","81%",183,100,170,3.5,"67.6%","16.7%","7%",-35,35,2.6,9.9,"33.5%",600,"33.7%","28.3%",0.43,0.34
"Fiora","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",14,"6.3%","4.9%","11.7%","57%","93%",45,25,77,4.9,"74.8%","19.5%","36%",-166,-67,-7.9,8,"23.0%",348,"20.9%","22.0%",0.51,0.15
"Galio","Support",1,"0.4%","4.9%","11.7%","0%","100%",0,5,3,0.6,"75.0%","29.4%","100%",-916,-933,-7,1.5,"5.1%",87,"7.6%","9.5%",1.46,0.25
"Gangplank","Top",10,"4.5%","3.1%","7.6%","90%","100%",23,21,84,5.1,"69.5%","24.1%","20%",-26,-82,-6,8.3,"27.4%",651,"29.3%","24.8%",0.54,0.18
"Gnar","Top",15,"6.7%","2.2%","9.0%","40%","87%",17,44,55,1.6,"60.0%","27.8%","40%",88,101,0.3,8.1,"24.3%",440,"24.9%","23.5%",0.55,0.27
"Gragas","Jungle",35,"15.7%","12.6%","28.3%","51%","60%",54,59,200,4.3,"71.3%","17.7%","49%",-20,9,-1.3,5.3,"14.4%",301,"18.1%","16.2%",1.16,0.51
"Graves","Jungle",2,"0.9%","0.0%","0.9%","50%","100%",6,2,14,10,"66.7%","10.0%","0%",641,1261,26,8.5,"27.4%",431,"21.1%","23.3%",0.75,0.88
"Illaoi","Top",5,"2.2%","6.7%","9.0%","40%","80%",13,27,28,1.5,"59.4%","30.3%","0%",-186,-85,0,7,"21.1%",679,"27.0%","20.5%",0.42,0.13
"Irelia","Middle",6,"2.7%","14.8%","20.2%","17%","83%",17,30,30,1.6,"58.8%","24.8%","17%",96,12,3.8,8.5,"25.7%",381,"19.9%","25.0%",0.37,0.19
"Irelia","Top",6,"2.7%","14.8%","20.2%","67%","100%",30,24,23,2.2,"63.1%","30.4%","17%",-28,-52,11.2,8.8,"26.1%",432,"21.1%","24.2%",0.46,0.19
"Ivern","Jungle",1,"0.4%","0.0%","0.4%","0%","0%",0,1,0,0,"-","14.3%","0%",48,13,2,5.5,"13.6%",116,"8.0%","16.7%",0.43,0.52
"Janna","Support",1,"0.4%","0.4%","0.9%","0%","100%",0,1,2,2,"66.7%","6.3%","0%",-18,-91,-6,0.6,"2.2%",160,"12.1%","7.9%",1.46,0.43
"Jarvan IV","Jungle",98,"43.9%","25.6%","69.5%","50%","28%",122,233,748,3.7,"82.5%","21.2%","37%",-87,-104,-1.6,5,"13.9%",168,"9.8%","16.6%",0.48,0.58
"Jax","Top",1,"0.4%","0.0%","0.4%","0%","100%",1,4,2,0.8,"25.0%","30.8%","0%",-29,-236,-3,8.6,"30.2%",385,"23.4%","25.1%",0.52,0.2
"Jayce","Middle",3,"1.3%","6.3%","15.7%","0%","67%",3,8,3,0.8,"60.0%","18.6%","67%",131,-135,1,8.7,"28.6%",516,"33.1%","26.7%",0.45,0.28
"Jayce","Top",18,"8.1%","6.3%","15.7%","67%","39%",64,42,100,3.9,"68.6%","25.8%","22%",233,11,5.2,8.9,"27.5%",652,"32.6%","25.3%",0.47,0.34
"Jinx","ADC",1,"0.4%","0.0%","0.4%","0%","100%",5,3,2,2.3,"58.3%","27.3%","0%",-240,-540,-4,10.5,"41.4%",309,"23.5%","32.0%",0.33,0.54
"Kai'Sa","ADC",27,"12.1%","3.1%","15.2%","41%","81%",104,47,96,4.3,"67.3%","14.4%","19%",-44,33,2.8,9.9,"35.1%",471,"27.9%","29.3%",0.43,0.36
"Kalista","ADC",56,"25.1%","29.1%","55.6%","59%","38%",224,85,244,5.5,"72.6%","15.5%","14%",224,123,11.4,10.2,"34.9%",428,"25.7%","28.8%",0.48,0.45
"Kalista","Top",3,"1.3%","29.1%","55.6%","33%","33%",7,10,20,2.7,"100.0%","21.3%","33%",194,-340,17.3,9.7,"34.9%",481,"35.1%","31.5%",0.52,0.39
"Karma","Middle",1,"0.4%","2.7%","8.5%","0%","100%",1,1,1,2,"66.7%","9.1%","0%",-760,-678,-59,4,"12.1%",343,"37.1%","19.9%",1.03,0.16
"Karma","Support",9,"4.0%","2.7%","8.5%","44%","67%",8,10,64,7.2,"86.7%","12.5%","44%",-64,-2,-16.9,0.8,"2.4%",196,"11.5%","8.9%",1.6,0.41
"Karma","Top",3,"1.3%","2.7%","8.5%","100%","67%",2,4,36,9.5,"74.5%","20.0%","33%",95,77,1.3,7.7,"21.7%",387,"17.6%","18.1%",0.52,0.19
"Karthus","Jungle",6,"2.7%","2.7%","5.4%","33%","83%",15,18,20,1.9,"76.1%","25.0%","50%",-8,255,5.3,7.1,"21.4%",490,"29.3%","22.0%",0.96,0.39
"Kassadin","Middle",6,"2.7%","5.4%","8.1%","33%","100%",22,10,21,4.3,"71.7%","15.4%","33%",-149,-112,-7.8,9.2,"31.3%",422,"27.0%","27.9%",0.4,0.26
"Kayle","Top",4,"1.8%","0.9%","2.7%","75%","75%",24,8,23,5.9,"77.0%","17.0%","0%",-180,105,-2.8,9.8,"34.1%",633,"33.1%","30.0%",0.48,0.35
"Kennen","Top",27,"12.1%","7.2%","19.3%","56%","89%",48,68,98,2.1,"52.0%","25.9%","19%",47,19,6.2,8,"24.6%",426,"25.1%","22.1%",0.5,0.22
"Kindred","Jungle",5,"2.2%","4.0%","6.3%","40%","80%",13,16,31,2.8,"77.2%","23.5%","0%",87,163,3.4,6.3,"20.4%",308,"16.6%","21.0%",0.32,0.46
