"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",46,19,27,35,490,595,0.82,0.67,-0.36,"-3.8%",45.8,-4.5,-475,"54%","43%","43%","50%","43%","50%","100%","35%","43%","49.7%","47.6%",3.76,1.52,1.89
"DAMWON Gaming",43,22,21,33.5,494,489,1.01,0.68,0.16,"2.2%",51.1,0,15,"51%","49%","53%","63%","56%","53%","56%","47%","53%","50.4%","52.1%",3.68,1.44,1.79
"DRX",46,31,15,32.7,606,428,1.42,0.68,1.08,"6.4%",64.2,3.2,1434,"35%","63%","76%","50%","52%","60%","100%","50%","62%","51.3%","53.8%",3.62,1.47,1.81
"Gen.G",44,31,13,33.6,543,341,1.59,0.6,0.93,"6.0%",64.4,6,1203,"75%","59%","66%","52%","52%","57%","60%","70%","65%","50.7%","50.4%",3.77,1.47,1.82
"Griffin",45,16,29,34.1,399,483,0.83,0.57,-0.78,"-6.0%",39.1,-6.5,-842,"53%","31%","29%","37%","40%","37%","43%","20%","31%","49.5%","48.1%",3.93,1.6,1.72
"Hanwha Life Esports",45,17,28,33,420,580,0.72,0.67,-0.86,"-6.3%",38.6,0.1,-1133,"47%","47%","38%","52%","49%","43%","29%","33%","37%","49.1%","46.5%",3.74,1.68,1.66
"KT Rolster",46,24,22,32.2,436,416,1.05,0.58,0.35,"1.6%",57,-4.8,420,"52%","63%","59%","55%","72%","56%","80%","43%","50%","49.7%","50.2%",3.66,1.58,1.79
"SANDBOX Gaming",44,16,28,33.6,430,512,0.84,0.64,-0.12,"-1.8%",46.7,-9.5,-113,"36%","48%","48%","40%","55%","47%","33%","34%","41%","49.8%","49.6%",3.87,1.56,1.87
"SeolHaeOne Prince",43,17,26,34.4,471,624,0.75,0.74,-0.73,"-3.6%",38.9,1.6,-925,"49%","53%","33%","54%","40%","45%","33%","47%","53%","49.2%","48.5%",3.72,1.44,1.78
"T1",44,30,14,34.2,520,347,1.5,0.58,0.34,"5.4%",52.7,14.7,342,"48%","41%","50%","48%","41%","54%","40%","50%","62%","50.5%","53.2%",4.02,1.42,1.82
