"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"100 Thieves",20,11,9,33.8,230,235,0.98,0.69,-0.05,"0.4%",50.1,2.5,-273,"45%","50%","40%","47%","50%","55%","67%","25%","43%","49.9%","51.2%",3.47,1.35,1.53
"Cloud9",18,17,1,31.1,288,133,2.17,0.75,2.29,"12.4%",85.4,9,2712,"61%","94%","89%","86%","83%","80%","100%","83%","87%","50.5%","58.3%",3.52,1.33,1.4
"Counter Logic Gaming",18,3,15,34.2,177,255,0.69,0.7,-0.8,"-5.2%",35.1,-18.5,-1025,"50%","39%","33%","41%","39%","40%","80%","17%","32%","49.8%","48.6%",3.42,1.34,1.31
"Dignitas",20,9,11,35,194,219,0.89,0.59,-0.48,"-0.7%",40.8,6.6,-512,"45%","40%","40%","38%","55%","47%","75%","40%","37%","50.1%","49.0%",2.98,1.25,1.46
"Evil Geniuses",19,11,8,33.7,226,200,1.13,0.67,0.1,"4.3%",51.6,6.3,-268,"53%","47%","58%","51%","68%","61%","67%","58%","58%","49.8%","52.2%",3.57,1.49,1.42
"FlyQuest",19,10,9,33.1,201,210,0.96,0.65,-0.42,"-4.4%",40,12.6,-560,"47%","32%","47%","33%","37%","47%","67%","32%","40%","50.2%","48.3%",3.23,1.24,1.43
"Golden Guardians",19,9,10,33.4,167,236,0.71,0.64,-0.22,"-3.3%",49.2,-1.8,86,"42%","68%","63%","66%","42%","39%","33%","47%","50%","50.2%","48.3%",3.26,1.35,1.41
"Immortals",19,8,11,37.1,164,203,0.81,0.52,-0.46,"-3.8%",46,-3.9,-505,"37%","53%","42%","49%","42%","43%","50%","42%","48%","49.3%","46.3%",3.55,1.39,1.57
"Team Liquid",18,7,11,35.2,165,155,1.06,0.5,-0.02,"1.6%",47.4,-8.5,-38,"39%","33%","39%","37%","39%","44%","0%","56%","59%","50.6%","50.4%",3.01,1.14,1.29
"Team SoloMid",18,9,9,36.6,209,177,1.18,0.59,0.36,"-1.0%",55.6,-5.6,539,"83%","44%","50%","53%","44%","48%","20%","50%","46%","49.7%","47.9%",3.35,1.38,1.44
