"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","ADC",1,"1.1%","27.8%","64.4%","100%","0%",7,1,13,20,"54.1%","11.1%","100%",1177,1077,6,6.9,"29.9%",563,"20.3%","24.8%",0.28,0.04
"Aatrox","Top",32,"35.6%","27.8%","64.4%","56%","53%",85,60,140,3.8,"53.2%","17.2%","19%",28,72,2.3,7.9,"24.0%",377,"20.7%","22.7%",0.44,0.16
"Akali","Middle",4,"4.4%","34.4%","38.9%","100%","75%",24,7,20,6.3,"60.3%","17.5%","0%",-142,261,-0.8,8.6,"27.6%",496,"21.5%","25.0%",0.46,0.14
"Annie","Support",1,"1.1%","0.0%","1.1%","0%","100%",2,7,7,1.3,"100.0%","18.9%","0%",-1348,-1105,-6,2.1,"21.1%",457,"18.4%","13.8%",0.55,0.12
"Aphelios","ADC",46,"51.1%","44.4%","95.6%","50%","17%",144,102,210,3.5,"68.9%","17.9%","17%",109,-10,5.1,9.8,"33.3%",492,"28.2%","27.7%",0.36,0.36
"Azir","Middle",19,"21.1%","11.1%","32.2%","47%","53%",60,48,74,2.8,"60.6%","20.5%","16%",35,140,5.1,9.6,"29.9%",533,"31.2%","26.8%",0.45,0.26
"Bard","Support",2,"2.2%","1.1%","4.4%","100%","100%",3,4,22,6.3,"64.1%","28.6%","50%",368,517,2,1.4,"4.3%",208,"8.4%","10.6%",1.86,0.47
"Bard","Top",1,"1.1%","1.1%","4.4%","100%","100%",4,1,12,16,"43.2%","11.1%","0%",-495,63,-10,5.7,"14.7%",399,"14.4%","15.9%",0.48,0
"Blitzcrank","Support",2,"2.2%","2.2%","4.4%","0%","100%",0,12,6,0.5,"46.2%","30.8%","0%",-252,-255,0.5,0.9,"2.0%",93,"6.8%","6.3%",1.49,0.27
"Braum","Support",37,"41.1%","14.4%","55.6%","46%","41%",17,83,279,3.6,"73.4%","19.5%","22%",-28,12,-1.3,1,"2.3%",126,"7.8%","8.6%",1.61,0.31
