"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",4,"1.2%","9.1%","46.7%","75%","25%",13,5,27,8,"76.9%","9.8%",8.2,451,"24.9%","25.0%",0.39,0.21
"Aatrox","Top",120,"36.4%","9.1%","46.7%","51%","47%",309,317,576,2.8,"56.7%","20.2%",7.7,394,"21.3%","22.5%",0.4,0.17
"Akali","Middle",3,"0.9%","10.3%","11.8%","0%","100%",7,11,4,1,"47.8%","23.4%",7.4,312,"21.3%","21.0%",0.31,0.18
"Akali","Top",2,"0.6%","10.3%","11.8%","0%","50%",2,4,2,1,"44.4%","16.0%",7.4,267,"20.2%","21.1%",0.25,0.09
"Alistar","Support",10,"3.0%","0.3%","3.3%","40%","90%",4,37,92,2.6,"78.7%","26.2%",1,122,"7.2%","8.7%",1.56,0.32
"Aphelios","ADC",106,"32.1%","66.4%","98.5%","57%","20%",444,223,558,4.5,"68.3%","16.4%",9.4,567,"30.0%","27.6%",0.37,0.39
"Ashe","ADC",2,"0.6%","0.0%","0.6%","50%","100%",3,3,12,5,"65.2%","15.8%",9.8,336,"23.4%","24.7%",0.41,0.48
"Aurelion Sol","Middle",3,"0.9%","1.2%","2.1%","67%","100%",10,3,29,13,"83.0%","8.1%",7.5,524,"25.7%","22.4%",0.28,0.19
"Azir","Middle",83,"25.2%","19.4%","44.5%","53%","37%",290,184,438,4,"69.5%","17.0%",9,551,"29.7%","25.8%",0.45,0.29
"Bard","ADC",4,"1.2%","3.9%","9.1%","25%","100%",3,15,47,3.3,"86.2%","19.0%",1.2,248,"10.7%","9.8%",1.86,0.5
"Bard","Support",13,"3.9%","3.9%","9.1%","31%","85%",14,31,120,4.3,"80.7%","16.4%",1.3,235,"12.1%","10.3%",2.32,0.59
"Blitzcrank","Support",13,"3.9%","4.2%","8.2%","46%","100%",10,35,104,3.3,"55.9%","19.9%",0.9,163,"8.7%","9.3%",1.52,0.29
"Braum","Support",96,"29.1%","10.3%","39.4%","51%","61%",40,240,818,3.6,"71.9%","19.1%",1.1,136,"7.5%","9.0%",1.57,0.3
"Caitlyn","ADC",7,"2.1%","1.2%","3.3%","71%","100%",29,9,31,6.7,"67.4%","13.6%",10.6,576,"30.8%","29.5%",0.39,0.51
"Camille","Jungle",1,"0.3%","1.8%","4.8%","100%","100%",3,1,7,10,"58.8%","33.3%",5.6,193,"11.4%","18.8%",0.43,0.5
"Camille","Top",9,"2.7%","1.8%","4.8%","22%","89%",36,37,30,1.8,"56.4%","24.5%",8.8,412,"21.6%","26.7%",0.32,0.26
"Cassiopeia","Middle",16,"4.8%","3.3%","8.2%","44%","88%",56,45,94,3.3,"67.0%","20.5%",7.9,448,"24.6%","22.4%",0.49,0.2
"Corki","Middle",38,"11.5%","2.7%","14.2%","61%","84%",171,75,230,5.3,"72.1%","17.3%",9.1,654,"32.2%","26.8%",0.47,0.28
"Diana","Middle",10,"3.0%","2.1%","5.2%","50%","80%",25,30,55,2.7,"60.2%","25.4%",8.2,367,"21.6%","22.7%",0.31,0.15
"Draven","ADC",1,"0.3%","0.0%","0.3%","0%","100%",4,5,2,1.2,"66.7%","19.2%",9.3,344,"22.6%","37.1%",0.32,0.53
"Ekko","Jungle",15,"4.5%","2.1%","9.1%","47%","73%",53,31,98,4.9,"77.4%","14.8%",6.3,421,"23.2%","21.7%",0.48,0.46
"Ekko","Middle",8,"2.4%","2.1%","9.1%","50%","100%",28,15,36,4.3,"64.0%","17.0%",8.5,410,"24.0%","25.1%",0.34,0.15
"Elise","Jungle",67,"20.3%","51.8%","72.1%","48%","28%",181,167,385,3.4,"67.3%","19.4%",5.1,305,"17.0%","17.9%",0.8,0.51
"Ezreal","ADC",22,"6.7%","0.9%","7.6%","41%","91%",95,59,82,3,"62.5%","16.4%",9.3,775,"34.8%","27.7%",0.36,0.36
"Fiora","Top",6,"1.8%","3.0%","4.8%","83%","100%",33,13,25,4.5,"60.4%","24.1%",8.7,521,"29.5%","26.2%",0.48,0.23
"Galio","Middle",18,"5.5%","2.7%","8.5%","67%","72%",64,37,161,6.1,"71.9%","17.0%",7.3,464,"23.0%","21.0%",0.39,0.14
"Galio","Support",1,"0.3%","2.7%","8.5%","0%","100%",1,6,2,0.5,"50.0%","26.1%",6.3,334,"19.6%","19.9%",0.46,0.08
"Gangplank","Top",14,"4.2%","6.4%","10.6%","36%","93%",41,35,50,2.6,"67.4%","16.8%",8.9,611,"33.5%","28.5%",0.44,0.13
"Gnar","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,2,4,2,"50.0%","15.4%",7,516,"28.2%","20.6%",0.46,0.2
"Gragas","Jungle",36,"10.9%","13.3%","24.2%","44%","64%",76,118,246,2.7,"68.5%","22.0%",4.9,343,"18.2%","16.7%",0.9,0.32
"Graves","Jungle",6,"1.8%","1.2%","3.0%","50%","83%",28,11,31,5.4,"81.9%","14.9%",7.1,324,"18.6%","25.8%",0.5,0.43
"Hecarim","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,4,3,0.8,"75.0%","23.5%",7.9,241,"19.9%","22.3%",0.32,0.11
"Irelia","Middle",17,"5.2%","18.5%","25.8%","71%","47%",48,46,106,3.3,"67.5%","26.6%",8.4,349,"20.4%","23.9%",0.39,0.17
"Irelia","Top",7,"2.1%","18.5%","25.8%","29%","100%",12,21,8,1,"46.5%","25.0%",9.2,280,"20.7%","25.6%",0.4,0.15
"Janna","Support",3,"0.9%","0.0%","2.1%","0%","100%",3,12,19,1.8,"73.3%","19.7%",0.7,269,"14.6%","9.2%",1.53,0.47
"Janna","Top",4,"1.2%","0.0%","2.1%","75%","100%",2,7,51,7.6,"81.5%","18.9%",3.3,295,"15.4%","14.9%",0.99,0.33
"Jarvan IV","Jungle",119,"36.1%","34.2%","70.3%","52%","24%",186,359,1238,4,"84.4%","22.7%",4.7,189,"9.7%","16.3%",0.81,0.5
"Jax","Top",6,"1.8%","1.2%","3.0%","67%","100%",16,12,34,4.2,"58.1%","18.8%",8.6,445,"24.1%","23.9%",0.43,0.26
"Jayce","Middle",7,"2.1%","1.5%","5.5%","57%","29%",24,23,42,2.9,"70.2%","20.5%",7.9,609,"31.0%","23.5%",0.39,0.34
"Jayce","Support",2,"0.6%","1.5%","5.5%","0%","50%",1,6,8,1.5,"47.4%","13.3%",8.2,553,"25.4%","23.9%",0.63,0.29
"Jayce","Top",4,"1.2%","1.5%","5.5%","0%","75%",10,18,25,1.9,"68.6%","20.2%",8.2,628,"31.7%","26.5%",0.35,0.24
"Jhin","ADC",1,"0.3%","0.0%","0.3%","100%","100%",6,1,8,14,"73.7%","10.0%",9.1,595,"26.4%","26.5%",0.5,0.28
"Kai'Sa","ADC",36,"10.9%","2.4%","13.3%","36%","94%",142,77,164,4,"70.2%","14.2%",9.4,473,"26.7%","28.5%",0.53,0.38
"Kalista","ADC",73,"22.1%","32.7%","56.4%","55%","41%",301,153,386,4.5,"70.3%","16.4%",9.4,465,"24.9%","27.3%",0.52,0.42
"Kalista","Top",5,"1.5%","32.7%","56.4%","80%","20%",12,12,20,2.7,"57.1%","22.6%",9.4,542,"24.5%","27.7%",0.42,0.18
"Karma","Middle",4,"1.2%","1.2%","3.3%","25%","25%",8,12,23,2.6,"81.6%","18.8%",7,362,"24.6%","20.5%",0.43,0.18
"Karma","Support",3,"0.9%","1.2%","3.3%","67%","67%",2,8,32,4.3,"61.8%","17.8%",0.9,223,"8.8%","9.4%",1.46,0.27
"Karthus","Jungle",1,"0.3%","0.3%","0.6%","100%","100%",3,3,11,4.7,"87.5%","17.6%",6.9,760,"31.1%","21.3%",0.94,0.38
"Kassadin","Middle",24,"7.3%","21.8%","29.4%","63%","83%",134,41,92,5.5,"70.8%","17.4%",9,524,"30.1%","27.6%",0.39,0.17
"Kassadin","Support",1,"0.3%","21.8%","29.4%","0%","100%",5,1,4,9,"90.0%","6.7%",9,683,"39.0%","30.1%",0.55,0.25
"Kayle","Top",1,"0.3%","0.0%","0.3%","100%","100%",1,1,7,8,"44.4%","25.0%",9.3,333,"19.3%","22.7%",0.38,0.17
"Kennen","Top",15,"4.5%","2.4%","7.0%","60%","80%",35,50,77,2.2,"53.8%","28.2%",7.1,446,"25.2%","20.1%",0.38,0.17
"Kindred","ADC",1,"0.3%","3.6%","8.8%","0%","100%",1,1,3,4,"80.0%","10.0%",9.8,378,"21.6%","26.7%",0.32,0.82
"Kindred","Jungle",16,"4.8%","3.6%","8.8%","63%","88%",63,41,101,4,"67.2%","20.3%",6.2,368,"18.0%","21.3%",0.27,0.57
"Kled","Middle",4,"1.2%","1.5%","3.0%","75%","75%",16,7,20,5.1,"66.7%","18.4%",8.4,385,"22.3%","25.7%",0.42,0.16
"Kled","Top",1,"0.3%","1.5%","3.0%","100%","100%",2,2,13,7.5,"57.7%","22.2%",8.2,325,"15.3%","20.8%",0.5,0.07
"Kog'Maw","ADC",1,"0.3%","0.0%","0.3%","0%","100%",0,4,1,0.3,"25.0%","28.6%",9.9,623,"42.5%","28.8%",0.37,0.34
"LeBlanc","Middle",63,"19.1%","45.5%","65.5%","48%","32%",258,112,322,5.2,"70.0%","13.9%",7.7,529,"27.8%","23.4%",0.36,0.28
"LeBlanc","Support",2,"0.6%","45.5%","65.5%","50%","100%",8,3,18,8.7,"78.8%","12.0%",8.2,541,"24.5%","23.3%",0.4,0.32
"LeBlanc","Top",1,"0.3%","45.5%","65.5%","0%","100%",1,4,1,0.5,"50.0%","16.0%",7,369,"28.4%","19.1%",0.41,0.41
"Lee Sin","Jungle",104,"31.5%","19.4%","50.9%","50%","64%",300,290,696,3.4,"70.7%","20.6%",5.2,241,"12.7%","18.1%",0.59,0.33
"Leona","Support",93,"28.2%","10.0%","38.2%","48%","61%",82,316,699,2.5,"62.2%","25.3%",1.1,115,"6.5%","9.3%",1.61,0.38
"Lissandra","Middle",23,"7.0%","3.6%","10.6%","57%","96%",52,70,169,3.2,"69.5%","22.9%",8,432,"24.3%","21.9%",0.34,0.2
"Lucian","ADC",8,"2.4%","13.6%","22.7%","25%","100%",22,19,27,2.6,"67.1%","15.0%",9.6,402,"26.5%","28.5%",0.41,0.39
"Lucian","Middle",19,"5.8%","13.6%","22.7%","32%","53%",76,58,68,2.5,"69.2%","19.1%",8.4,500,"29.4%","26.1%",0.43,0.35
"Lucian","Top",3,"0.9%","13.6%","22.7%","67%","0%",15,21,22,1.8,"61.7%","30.0%",8.2,897,"32.0%","27.1%",0.38,0.14
"Lulu","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,2,4,2,"100.0%","14.3%",0.9,92,"6.3%","7.0%",1.46,0.15
"Malphite","Top",6,"1.8%","0.9%","2.7%","50%","83%",16,14,30,3.3,"62.2%","16.3%",7.5,361,"21.7%","22.9%",0.42,0.21
"Maokai","Jungle",2,"0.6%","2.1%","12.4%","0%","50%",1,7,5,0.9,"75.0%","25.0%",4.5,364,"17.9%","14.3%",0.37,0.49
"Maokai","Middle",1,"0.3%","2.1%","12.4%","0%","0%",1,6,1,0.3,"40.0%","28.6%",6.3,464,"30.6%","18.0%",0.43,0.18
"Maokai","Support",3,"0.9%","2.1%","12.4%","33%","67%",2,12,23,2.1,"56.8%","28.6%",5.2,307,"17.9%","15.4%",0.46,0.27
"Maokai","Top",28,"8.5%","2.1%","12.4%","50%","79%",42,77,179,2.9,"59.9%","23.0%",6.4,470,"24.7%","18.0%",0.43,0.19
