result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,0.966,0.744,0.689,0.876,0.674,1.043,1.146,0.926,1.113,0.856,3.949,5.084
1,0.832,1.129,0.926,0.984,0.856,0.966,0.609,0.689,0.876,0.674,4.727,3.8139999999999996
0,0.834,0.979,0.72,0.952,0.8,1.194,0.8,1.001,1.028,0.668,4.285,4.691
1,1.015,1.223,1.105,0.772,1.021,0.673,0.979,1.29,0.952,0.459,5.136,4.353
0,0.899,0.816,0.915,0.829,0.895,1.451,1.019,1.224,1.013,0.765,4.353999999999999,5.4719999999999995
0,0.871,1.098,0.87,1.013,0.662,1.002,0.933,1.193,0.829,0.998,4.514,4.955
1,1.037,0.748,1.193,0.87,0.998,0.896,1.11,0.611,0.844,0.662,4.846,4.123
1,1.034,1.58,1.203,1.175,1.089,0.832,1.064,0.696,0.954,0.666,6.0809999999999995,4.212
0,0.917,0.769,0.696,0.954,0.666,1.034,1.58,1.203,1.033,0.796,4.002,5.646
1,1.154,1.265,1.131,1.059,0.965,0.673,0.742,0.597,0.983,0.893,5.574,3.888
0,0.834,0.979,0.72,0.823,0.893,0.814,1.116,0.903,0.927,0.933,4.249,4.6930000000000005
1,0.916,1.249,0.926,1.025,0.88,1.061,1.183,0.901,1.004,0.886,4.9959999999999996,5.034999999999999
0,1.178,1.096,0.901,0.843,0.783,1.043,0.837,0.926,1.113,0.763,4.801,4.682
0,0.724,1.11,0.981,1.024,0.877,1.049,0.951,1.001,0.772,1.021,4.716,4.794
1,1.015,0.8,1.105,0.772,1.021,0.842,0.989,0.611,0.868,0.877,4.713,4.187
0,0.973,0.744,0.632,0.896,0.8,1.011,0.655,1.308,1.175,1.267,4.045,5.416
1,1.011,1.472,1.518,1.162,1.267,0.966,,0.733,0.869,0.548,6.43,
1,1.154,0.8,0.903,1.153,0.965,0.72,0.541,0.846,0.988,1.217,4.975,4.312
0,0.61,0.8,0.868,0.988,0.945,1.005,1.116,1.094,1.153,0.965,4.211,5.333
1,1.002,0.871,0.819,0.969,0.998,1.061,1.031,0.799,1.101,0.782,4.659,4.773999999999999
0,0.928,0.8,0.799,1.04,0.793,1.088,0.933,0.93,0.969,0.998,4.36,4.918
1,1.066,0.992,0.868,1.059,0.906,0.871,1.019,0.976,1.039,0.722,4.890999999999999,4.626999999999999
0,0.724,1.029,0.981,0.868,0.666,1.066,0.541,0.942,0.884,0.869,4.268,4.3020000000000005
1,1.034,1.237,1.203,1.081,1.089,1.002,0.871,1.193,0.87,0.998,5.644,4.934
0,1.002,0.871,0.976,0.627,0.891,1.034,1.204,1.203,1.162,1.441,4.367,6.044
1,1.043,1.135,1.033,1.113,0.856,0.858,0.865,0.753,1.059,0.965,5.18,4.5
1,1.313,1.035,0.753,1.153,0.965,1.043,0.837,0.926,1.113,0.672,5.218999999999999,4.591
0,1.102,1.166,0.926,0.999,0.851,1.047,1.116,0.995,0.843,0.676,5.044,4.6770000000000005
1,1.31,1.226,1.286,0.749,0.793,1.145,0.575,0.597,1.104,0.885,5.364,4.306
1,0.788,1.145,0.88,1.104,0.912,0.837,1.534,1.286,0.828,0.793,4.829000000000001,5.2780000000000005
1,0.985,0.918,0.799,1.102,0.793,1.145,0.853,0.68,1.104,0.885,4.597,4.667
0,0.782,0.744,1.017,0.948,0.788,0.803,1.097,0.913,1.13,0.765,4.279,4.707999999999999
1,0.724,1.11,0.945,0.998,0.936,0.823,0.602,0.77,0.876,0.8,4.713,3.8709999999999996
1,0.833,1.174,1.203,1.033,1.089,1.049,0.8,1.001,1.033,1.012,5.332000000000001,4.895
0,1.137,0.951,0.94,0.772,0.773,1.034,1.174,1.11,1.162,1.062,4.5729999999999995,5.542000000000001
0,0.985,1.226,0.913,0.749,0.72,1.066,0.711,1.106,1.079,0.945,4.593,4.907
1,1.066,0.711,0.784,0.913,0.992,0.985,1.226,0.846,0.749,0.72,4.466,4.526
0,0.786,0.933,1.109,0.969,0.891,1.534,0.954,0.86,0.852,0.942,4.688000000000001,5.142
1,0.814,1.012,1.094,0.852,0.789,1.002,0.933,0.916,0.829,0.998,4.561,4.678
0,1.273,0.8,1.074,1.121,0.668,1.055,1.146,1.033,0.838,0.815,4.936000000000001,4.886999999999999
0,1.046,1.146,0.85,1.113,0.856,0.852,0.951,1.081,1.033,1.021,5.011,4.938
0,1.035,1.223,0.877,1.033,0.872,1.046,0.9,1.033,1.113,0.763,5.039999999999999,4.855
1,0.788,1.174,0.825,1.104,0.817,0.973,0.863,0.734,1.031,0.778,4.708,4.379
1,0.966,0.949,0.76,0.876,0.674,0.844,1.145,0.88,0.987,0.893,4.225,4.749
1,1.145,0.853,0.825,1.104,0.912,0.966,0.794,0.636,0.565,0.674,4.839,3.635
1,1.154,1.012,0.927,0.927,0.933,1.098,0.8,1.081,0.772,1.012,4.952999999999999,4.763
1,1.196,1.083,1.064,0.744,0.856,1.78,1.012,0.995,0.927,0.933,4.943,5.647
1,1.005,1.012,1.01,1.059,0.965,1.015,1.083,1.001,0.772,1.021,5.051,4.8919999999999995
0,0.823,0.744,0.77,0.948,0.788,0.854,1.176,1.101,1.04,0.866,4.0729999999999995,5.036999999999999
1,1.088,0.861,0.799,1.045,0.866,0.966,1.29,0.76,0.727,0.693,4.659,4.436
0,0.855,0.9,0.878,,0.856,1.034,1.116,1.267,1.081,1.151,,5.649
1,0.833,1.204,1.518,1.162,1.151,1.043,0.9,1.019,0.533,0.851,5.867999999999999,4.346
1,0.803,1.019,0.945,0.998,0.823,0.992,0.575,0.825,0.983,0.499,4.587999999999999,3.874
1,1.145,0.853,0.825,0.983,0.912,0.77,1.002,1.029,0.998,0.823,4.718,4.622
0,0.725,0.797,0.952,1.013,0.765,1.145,1.174,0.825,0.983,0.817,4.252,4.944
0,1.225,0.922,1.064,0.772,0.856,0.72,0.711,0.846,0.954,0.908,4.839,4.139
1,0.917,1.24,0.942,1.059,0.906,1.269,0.911,1.064,0.744,1.012,5.064,5.0
1,1.002,0.748,1.193,0.874,0.709,0.588,0.8,0.966,0.876,0.548,4.526,3.778
0,0.925,0.744,0.601,0.896,0.548,1.037,0.787,1.193,0.92,0.891,3.714,4.827999999999999
1,1.01,0.8,1.224,1.039,0.722,0.659,0.861,0.846,0.75,0.699,4.795,3.815
0,0.938,1.183,0.846,0.959,0.866,0.871,1.002,1.258,1.298,0.823,4.792,5.252000000000001
0,1.047,1.012,1.094,1.029,0.672,1.011,1.472,1.203,1.162,0.933,4.854,5.781
0,1.034,1.116,1.158,1.033,0.933,1.313,1.012,1.115,0.852,0.933,5.274,5.2250000000000005
0,1.047,0.739,0.86,0.927,0.933,1.034,1.174,1.11,1.162,1.062,4.506,5.542000000000001
0,0.992,0.853,0.88,1.104,0.817,0.61,0.711,0.784,1.243,0.869,4.646,4.217
0,0.747,1.064,0.967,1.169,0.945,1.145,0.853,0.68,1.104,0.817,4.892,4.599
0,1.145,0.853,0.68,0.983,0.499,0.72,1.025,0.892,0.954,0.869,4.16,4.46
0,1.088,0.787,0.93,0.831,0.86,1.174,1.146,1.033,1.113,0.763,4.496,5.228999999999999
1,1.055,1.249,0.97,1.113,0.856,0.778,0.748,1.063,0.969,0.895,5.243,4.452999999999999
0,1.024,0.575,0.825,1.133,0.817,0.786,0.933,0.916,0.87,0.998,4.374,4.503
1,1.041,0.933,0.916,0.87,0.998,1.024,0.853,0.72,1.104,0.912,4.758,4.613
1,1.385,1.166,1.096,1.169,0.945,1.043,1.146,1.081,0.999,0.672,5.761000000000001,4.941
1,0.855,1.25,1.081,1.113,0.815,0.994,0.711,0.942,0.954,0.869,5.113999999999999,4.47
0,0.886,0.769,0.771,0.826,0.906,0.916,1.25,0.952,1.113,0.856,4.158,5.087
0,1.198,0.958,0.901,0.986,0.72,0.738,0.922,1.064,0.89,0.872,4.762999999999999,4.486000000000001
