result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,3.0,3.0,17.275,9.611,7.327,3.0,18.539,18.503,17.411,18.947,40.212999999999994,76.4
1,3.0,2.193,18.503,4.044,18.947,3.0,14.515,17.275,9.611,7.327,46.687,51.727999999999994
0,3.0,2.193,7.66,4.044,0.8,2.433,0.8,17.275,3.392,3.0,17.697,26.9
1,3.0,3.367,18.503,3.73,7.327,3.0,2.193,2.74,4.044,0.8,35.927,12.777000000000001
0,3.0,3.223,7.66,17.411,15.313,3.0,6.038,18.503,4.04,18.947,46.607,50.528
0,3.0,2.193,11.45,4.04,7.327,3.0,3.0,19.085,17.411,18.947,28.009999999999998,61.443
1,3.0,18.539,19.085,7.371,18.947,0.167,3.0,17.275,3.73,7.327,66.94200000000001,31.499000000000002
1,3.0,3.0,9.737,11.119,7.327,3.0,2.193,18.503,9.611,3.0,34.183,36.307
0,3.0,3.223,18.503,9.611,3.0,3.0,3.0,9.737,17.411,3.0,37.337,36.148
1,3.0,2.193,3.0,9.657,8.991,3.0,3.0,17.275,17.411,18.947,26.841,59.632999999999996
0,3.0,2.193,7.66,15.202,18.947,3.0,3.0,19.085,4.976,3.0,47.001999999999995,33.061
1,5.233,3.854,18.503,3.73,7.327,3.0,3.0,17.275,4.04,9.528,38.647,36.842999999999996
0,2.433,2.1,17.275,4.044,18.947,3.0,3.0,18.503,17.411,15.313,44.799,57.227000000000004
0,3.0,3.0,19.085,9.657,0.8,3.0,5.54,17.275,3.73,7.327,35.542,36.872
1,3.0,0.8,18.503,3.73,7.327,3.0,3.0,17.275,9.611,0.8,33.36,33.68599999999999
0,3.0,3.0,3.0,17.411,0.333,3.0,1.3,7.66,11.119,4.147,26.744,27.226
1,3.0,3.223,17.275,15.202,4.147,3.0,3.0,3.0,3.567,9.528,42.846999999999994,22.095
1,3.0,0.8,19.085,2.747,8.991,3.0,18.539,7.66,15.202,4.147,34.623000000000005,48.548
0,3.0,0.8,11.45,15.202,18.947,3.0,3.0,17.275,2.747,8.991,49.399,35.013
1,3.0,3.0,17.275,9.611,18.947,3.0,5.54,19.085,4.976,15.313,51.833,47.914
0,3.0,0.8,19.085,17.411,7.327,3.0,3.0,10.359,9.611,18.947,47.623000000000005,44.917
1,3.0,3.0,11.45,7.371,15.313,3.0,6.038,3.0,15.202,8.991,40.134,36.231
0,3.0,14.515,19.085,9.611,3.0,3.0,18.539,10.359,2.133,9.528,49.211,43.559000000000005
1,3.0,2.193,9.737,9.611,7.327,3.0,3.0,19.085,7.371,18.947,31.868000000000002,51.403000000000006
0,3.0,3.0,0.167,4.976,8.991,3.0,5.54,9.737,15.202,1.297,20.134,34.775999999999996
1,3.0,5.54,17.275,17.411,18.947,3.0,3.0,3.0,9.657,8.991,62.173,27.648
1,3.0,3.672,3.0,2.747,8.991,3.0,3.0,18.503,17.411,3.0,21.41,44.914
0,2.433,6.038,18.503,9.611,9.528,3.0,3.0,9.737,17.411,5.513,46.113,38.661
1,3.0,4.307,9.737,4.266,7.327,3.0,5.54,17.275,9.611,9.528,28.637,44.954
