result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,12.494,11.558,48.027,46.97,12.029,20.183,141.871,87.378,128.565,80.436,131.078,458.433
1,12.809,15.877,87.378,24.303,80.436,12.494,33.041,48.027,46.97,12.029,220.803,152.56099999999998
0,12.432,12.611,15.162,21.554,15.0,23.272,15.0,93.652,15.741,10.0,76.759,157.66500000000002
1,20.429,30.8,120.871,10.0,30.139,10.0,12.611,16.227,21.554,10.0,212.239,70.392
0,10.0,10.276,33.242,68.769,74.957,26.047,25.379,183.632,24.142,57.776,197.244,316.976
0,10.0,10.0,54.374,24.142,16.039,10.0,15.162,146.139,68.769,126.652,114.55499999999999,366.72200000000004
1,10.0,56.687,146.139,32.283,126.652,10.0,13.43,40.528,13.521,16.039,371.761,93.518
1,19.764,48.255,89.499,87.769,42.266,10.979,10.0,51.664,45.778,10.0,287.553,128.421
0,13.061,10.0,51.664,45.778,10.0,19.764,48.255,89.499,103.178,12.816,130.503,273.512
1,20.558,12.541,24.415,72.124,53.102,10.0,10.904,27.139,85.552,52.496,182.74,186.091
0,12.432,12.611,15.162,59.505,52.496,10.0,16.246,89.745,24.557,16.095,152.20600000000002,156.643
1,27.957,34.787,87.378,24.245,29.62,17.712,18.112,79.946,21.587,28.926,203.98700000000002,166.283
0,17.058,11.517,79.946,15.316,43.486,20.183,13.272,87.378,128.565,52.933,167.323,302.331
0,10.0,13.43,113.418,54.482,10.0,21.267,28.473,93.652,10.0,30.139,201.33,183.531
1,20.429,15.0,120.871,10.0,30.139,10.0,11.217,40.528,39.974,10.0,196.43900000000002,111.719
0,11.216,11.558,10.0,81.336,10.0,19.236,10.0,86.612,87.769,32.417,124.11,236.03400000000002
1,19.236,42.017,233.977,115.458,32.417,12.494,,10.0,15.759,10.358,443.105,
1,20.558,15.0,89.745,23.022,53.102,10.0,20.885,31.777,74.277,21.089,201.427,158.02800000000002
0,10.0,15.0,49.026,74.277,58.843,15.255,16.246,112.556,23.022,53.102,207.14600000000002,220.18099999999998
1,10.0,11.588,64.661,55.385,126.652,17.712,23.852,54.963,31.353,34.037,268.286,161.917
0,13.707,15.0,54.963,91.968,14.418,10.0,15.162,54.58,55.385,126.652,190.056,261.779
1,17.97,12.443,49.026,36.259,46.048,10.0,25.379,18.95,90.379,25.861,161.74599999999998,170.56900000000002
0,10.0,49.298,113.418,39.974,10.0,17.97,20.885,51.565,10.0,26.813,222.69,127.233
1,19.764,20.362,89.499,66.375,42.266,10.0,11.588,146.139,32.283,126.652,238.266,326.662
0,10.0,11.588,10.0,10.887,41.396,19.764,47.868,89.499,115.458,14.058,83.87100000000001,286.647
1,20.183,41.854,105.332,128.565,80.436,10.945,10.0,10.0,72.124,53.102,376.37,156.171
1,26.018,17.431,10.0,23.022,53.102,20.183,13.272,87.378,128.565,10.0,129.573,259.398
0,15.771,48.48,87.378,60.868,40.505,16.345,16.246,57.573,74.653,16.335,253.002,181.15200000000002
1,28.94,26.616,66.566,13.233,14.418,22.205,11.97,27.139,68.746,26.362,149.773,156.422
1,10.592,36.161,56.968,68.746,10.113,10.0,24.69,66.566,37.778,14.418,182.57999999999998,153.452
