result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,1.184,0.8,0.827,0.99,0.897,0.827,1.032,0.991,1.192,1.067,4.698,5.109
1,1.019,0.622,1.038,0.94,0.864,1.069,1.107,0.883,1.118,0.89,4.4830000000000005,5.067
1,0.826,0.696,1.112,1.052,0.73,0.643,0.912,0.934,0.753,0.839,4.416,4.081
0,1.21,1.109,0.952,0.891,0.547,0.87,0.867,1.137,0.914,1.013,4.709,4.801
0,0.695,0.881,0.929,0.994,0.778,1.005,0.88,0.977,1.002,0.779,4.276999999999999,4.643
0,1.13,0.696,0.916,0.711,0.897,0.737,0.8,0.961,0.899,1.013,4.35,4.41
0,1.182,0.658,0.877,0.752,0.867,1.015,0.895,1.109,0.99,0.966,4.335999999999999,4.9750000000000005
0,0.854,0.517,1.015,0.864,0.907,0.77,1.032,1.176,1.304,1.138,4.157,5.42
0,0.846,0.855,0.601,0.954,1.002,0.648,0.924,1.159,1.017,0.914,4.258,4.662
0,1.031,0.716,0.995,0.892,0.493,0.839,0.881,0.777,0.994,1.134,4.127,4.625
1,0.791,0.801,1.15,0.94,0.818,0.79,0.704,0.768,0.921,1.312,4.5,4.495
0,0.537,0.716,1.013,0.866,0.972,1.184,0.895,0.827,0.99,0.966,4.104,4.862
1,0.827,1.032,0.939,1.304,1.138,1.605,0.796,0.883,0.725,0.76,5.24,4.768999999999999
1,1.047,0.851,1.015,0.816,0.956,0.724,1.278,0.855,0.769,0.856,4.685,4.482
1,1.13,1.417,0.839,0.786,0.77,0.701,1.261,1.159,1.017,0.914,4.942,5.052
1,0.926,0.988,0.877,0.972,0.76,1.223,0.678,0.848,0.996,0.93,4.523000000000001,4.675
0,0.826,0.81,0.792,1.052,0.671,1.119,0.8,1.034,0.84,0.939,4.151,4.732
0,1.005,0.979,0.884,0.948,0.757,1.229,1.032,1.17,1.082,1.067,4.5729999999999995,5.58
1,0.724,0.8,0.934,0.899,1.013,0.936,0.622,1.266,0.94,0.735,4.37,4.499
1,1.047,0.517,0.98,0.816,0.956,1.015,1.068,1.109,0.814,0.966,4.316,4.972
0,0.89,0.789,0.636,1.017,0.705,1.182,1.151,0.78,1.448,0.867,4.037,5.428
1,1.031,1.067,0.864,0.97,0.871,0.593,0.8,1.019,0.692,0.766,4.802999999999999,3.87
1,1.181,0.895,1.068,0.99,0.966,1.019,0.713,1.15,1.209,0.837,5.1000000000000005,4.927999999999999
1,1.074,0.912,1.039,0.816,0.956,0.79,0.637,0.717,0.84,0.939,4.797000000000001,3.923
1,1.05,0.678,0.919,0.892,0.799,0.826,0.8,1.112,0.786,0.77,4.338,4.2940000000000005
1,1.063,0.596,0.949,0.699,0.833,0.803,1.189,0.961,0.577,1.013,4.14,4.542999999999999
1,1.251,0.839,1.068,0.99,0.852,0.896,0.924,0.884,1.002,0.855,5.0,4.561
0,1.13,0.48,1.086,1.052,0.828,0.77,0.8,0.991,1.082,0.871,4.576,4.513999999999999
1,1.05,1.244,0.919,0.892,0.972,0.936,0.622,1.15,1.016,0.864,5.077,4.588
0,0.557,0.851,0.934,0.864,0.893,1.183,0.988,0.877,0.972,0.76,4.099,4.779999999999999
0,1.13,1.183,0.916,1.17,0.77,0.936,0.855,1.134,1.129,0.864,5.168999999999999,4.918
1,0.827,1.067,0.864,1.082,0.871,1.223,0.91,1.008,1.125,0.972,4.711,5.2379999999999995
0,0.695,0.704,1.034,0.678,0.694,1.184,1.266,1.058,0.923,0.897,3.8049999999999997,5.328
1,1.126,1.117,0.934,0.914,0.856,0.891,0.864,0.9,0.625,0.753,4.947,4.0329999999999995
1,1.047,0.903,1.462,0.682,0.956,1.005,0.924,0.607,1.002,0.855,5.050000000000001,4.392999999999999
1,0.995,0.787,1.068,0.892,0.837,0.937,1.107,0.78,0.625,0.753,4.579,4.202
0,0.701,0.507,1.039,0.974,0.956,1.223,0.716,0.834,1.125,0.729,4.177,4.627
1,0.889,0.731,0.996,0.954,1.002,1.02,1.032,0.864,1.082,0.871,4.572,4.869
1,1.126,1.278,0.934,0.899,1.006,0.481,0.498,0.669,1.017,0.705,5.243,3.37
0,1.13,1.183,0.934,0.786,1.057,1.184,0.839,0.827,0.909,0.83,5.09,4.5889999999999995
1,0.974,0.715,0.825,0.711,0.671,1.182,1.107,0.78,0.972,0.76,3.896,4.801
0,1.063,0.585,1.068,0.84,0.833,0.933,1.006,1.135,1.296,0.889,4.389,5.259
1,1.018,1.09,1.112,1.269,0.855,1.188,0.716,1.541,0.604,0.725,5.343999999999999,4.773999999999999
0,0.737,1.117,1.019,1.094,0.61,0.92,0.626,1.028,0.537,0.922,4.577000000000001,4.0329999999999995
