result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
0,19.416,15.0,44.015,68.833,32.394,20.21,38.636,15.806,46.426,122.69,179.65800000000002,243.768
1,33.801,11.717,22.289,62.78,39.197,17.051,16.107,32.579,39.89,24.719,169.784,130.346
1,11.588,17.744,63.005,92.75,10.0,10.0,81.942,10.0,40.009,28.494,195.087,170.445
0,20.515,20.209,34.274,29.972,10.0,18.456,24.285,60.061,73.343,18.85,114.97,194.99499999999998
0,15.849,10.0,13.41,70.646,25.273,16.656,24.804,44.051,81.206,11.28,135.178,177.99699999999999
0,41.405,17.744,43.479,29.181,34.266,10.0,15.0,53.136,38.47,18.85,166.075,135.456
0,20.647,10.0,25.825,29.465,34.37,14.803,24.926,29.141,68.833,64.652,120.30699999999999,202.35500000000002
0,27.336,10.0,28.9,24.049,25.814,10.115,38.636,69.557,106.274,90.047,116.09899999999999,314.629
0,13.771,37.069,13.312,33.12,33.593,10.0,28.721,48.637,129.348,63.857,130.865,280.563
0,14.747,15.689,49.17,87.483,13.754,12.868,10.0,10.0,70.646,14.817,180.843,118.33100000000002
1,11.792,18.354,59.569,62.78,46.588,11.203,15.409,15.869,51.199,33.61,199.083,127.29
0,10.0,15.689,27.535,10.0,66.476,19.416,24.926,44.015,68.833,64.652,129.7,221.84199999999998
1,20.21,38.636,56.137,106.274,90.047,18.981,46.911,32.579,11.986,47.548,311.304,158.005
1,30.299,13.236,28.9,70.685,45.634,10.0,53.565,25.53,10.0,64.075,188.75400000000002,163.17000000000002
1,41.405,67.532,19.13,28.417,13.867,10.0,28.19,48.637,129.348,63.857,170.351,280.03200000000004
1,12.362,22.486,25.825,107.675,47.548,22.107,12.223,33.839,55.116,10.0,215.89600000000002,133.285
0,11.588,10.0,14.224,92.75,27.062,24.975,15.0,44.508,38.842,19.968,155.62400000000002,143.293
0,16.656,19.241,22.128,27.181,10.0,28.785,38.636,26.15,77.279,122.69,95.206,293.53999999999996
1,10.0,15.0,55.3,38.47,18.85,16.642,11.717,44.964,62.78,48.65,137.62,184.75300000000001
1,30.299,10.0,21.803,70.685,45.634,14.803,37.499,29.141,25.281,64.652,178.421,171.37600000000003
0,12.109,10.0,12.916,129.348,48.122,20.647,101.3,31.595,11.394,34.37,212.495,199.306
1,18.607,62.525,23.25,43.369,44.246,10.0,15.0,32.454,29.714,30.228,191.997,117.39600000000002
1,19.042,24.926,63.342,68.833,64.652,33.801,10.0,59.569,36.344,12.175,240.79500000000002,151.889
1,19.663,81.942,32.22,70.685,45.634,11.203,11.03,13.651,38.842,19.968,250.144,94.694
1,28.567,12.223,13.038,87.483,57.158,11.588,15.0,63.005,28.417,13.867,198.469,131.877
1,20.124,17.179,10.0,51.411,52.155,18.012,42.266,53.136,10.298,18.85,150.869,142.562
1,36.121,19.984,63.342,68.833,10.0,11.612,28.721,22.128,81.206,34.128,198.28,177.79500000000002
0,41.405,11.824,37.091,92.75,47.993,10.115,15.0,15.806,77.279,44.246,231.063,162.446
1,28.567,155.91,13.038,87.483,66.476,16.642,11.717,59.569,52.847,39.197,351.47400000000005,179.972
0,10.0,13.236,15.757,24.049,16.88,21.502,22.486,25.825,107.675,47.548,79.922,225.036
0,41.405,30.088,43.479,20.948,13.867,16.642,37.069,21.797,21.51,39.197,149.78699999999998,136.215
1,20.21,62.525,23.25,77.279,44.246,22.107,11.913,10.0,25.003,66.476,227.51000000000002,135.499
0,15.849,15.409,44.508,17.197,10.0,19.416,78.177,43.506,41.008,32.394,102.96300000000001,214.501
1,15.451,115.194,55.3,73.343,64.075,11.965,42.559,10.0,10.0,35.662,323.363,110.186
1,30.299,61.405,17.258,10.555,45.634,16.656,28.721,10.0,81.206,34.128,165.151,170.711
1,10.0,44.403,49.666,59.024,24.452,12.675,16.107,31.595,10.0,35.662,187.545,106.03899999999999
0,10.0,13.136,32.22,66.544,45.634,22.107,15.689,20.519,25.003,15.702,167.534,99.02
1,12.276,52.689,46.302,33.12,33.593,10.0,38.636,23.25,77.279,44.246,177.98000000000002,193.411
1,15.451,53.565,55.3,38.47,31.034,10.0,10.0,10.0,129.348,48.122,193.82,207.47000000000003
0,41.405,30.088,10.0,28.417,16.882,19.416,19.984,44.015,41.906,35.791,126.792,161.112
1,17.55,17.329,21.961,29.181,27.062,20.647,16.107,31.595,107.675,47.548,113.083,223.572
0,20.124,10.0,49.666,38.842,52.155,16.549,107.749,37.474,160.926,65.482,170.78699999999998,388.17999999999995
1,16.978,115.442,27.362,105.952,34.128,42.651,15.689,40.837,10.0,10.0,299.86199999999997,119.177
0,10.0,115.194,32.454,12.164,17.151,11.968,10.0,88.982,10.0,12.03,186.963,132.98
1,13.691,52.689,16.807,33.12,33.593,19.307,144.567,15.757,70.685,10.0,149.89999999999998,260.31600000000003
1,22.107,15.689,40.837,12.075,50.69,15.849,44.403,13.41,51.411,52.155,141.39800000000002,177.228
1,21.062,10.149,43.479,28.417,13.867,10.0,46.716,13.98,50.054,48.122,116.974,168.872
0,10.0,61.405,28.9,34.407,10.0,19.416,176.296,88.982,41.008,32.394,144.712,358.09599999999995
0,14.4,42.266,55.3,52.94,17.151,13.691,52.689,53.923,20.625,46.588,182.05700000000002,187.516
0,12.675,46.911,22.925,29.465,24.719,10.0,22.328,37.474,160.926,65.482,136.695,296.21
1,10.0,42.559,25.825,107.675,47.548,19.772,46.716,27.234,48.355,34.128,233.607,176.20499999999998
1,15.219,52.689,15.416,62.78,39.197,31.895,44.403,49.666,14.92,10.175,185.301,151.059
0,22.061,13.165,27.535,12.075,66.476,12.006,74.558,19.34,10.0,32.394,141.312,148.298
1,18.49,81.942,54.713,66.544,56.76,15.451,,29.221,73.343,17.151,278.44899999999996,
0,10.0,17.329,43.479,29.181,10.0,31.282,103.246,30.423,160.926,22.049,109.98899999999999,347.92599999999993
0,10.0,44.403,26.335,51.411,10.175,16.978,59.28,11.081,105.952,34.128,142.324,227.41899999999998
0,10.0,16.537,21.208,107.675,47.548,14.747,30.016,74.666,29.972,50.69,202.968,200.091
0,14.64,37.069,46.302,20.625,46.588,11.968,10.0,10.953,10.0,12.03,165.224,54.951
0,10.0,61.405,28.9,66.544,56.76,16.829,38.636,23.25,160.926,65.482,223.60899999999998,305.123
0,27.174,48.14,53.136,38.47,10.0,16.363,62.024,14.224,16.608,27.062,176.92,136.281
1,42.651,155.91,27.535,10.0,15.702,30.299,61.405,28.713,70.685,45.634,251.798,236.736
0,18.888,50.885,43.506,41.906,35.791,16.829,107.749,37.474,43.369,22.049,190.976,227.47
1,10.0,18.354,15.416,62.78,46.588,21.502,42.559,10.526,68.904,34.37,153.138,177.861
1,10.0,42.266,53.136,21.871,64.075,19.772,95.13,10.49,48.355,34.128,191.348,207.875
1,10.0,101.349,29.602,20.948,47.993,20.124,23.583,13.651,51.411,51.657,209.892,160.426
1,31.282,38.636,30.423,160.926,65.482,20.515,33.557,13.038,10.0,57.158,326.749,134.268
1,10.0,37.314,53.136,21.871,64.075,11.203,39.904,15.869,14.92,24.452,186.39600000000002,106.348
0,10.0,101.349,24.514,10.0,27.062,18.695,52.586,16.909,62.78,12.814,172.925,163.784
0,15.035,42.559,31.595,107.675,34.37,11.968,176.296,43.506,18.017,12.03,231.23399999999998,261.81699999999995
0,10.0,12.562,32.22,11.712,45.634,16.656,138.782,22.128,105.952,34.128,112.128,317.646
0,10.0,101.349,15.0,10.0,27.062,17.76,53.698,15.757,66.544,56.76,163.411,210.519
0,29.694,28.19,24.206,50.054,34.128,16.794,35.107,23.25,10.0,122.69,166.272,207.841
1,20.973,44.403,36.074,12.818,52.155,11.968,74.558,53.858,10.0,12.03,166.423,162.41400000000002
1,18.695,54.708,59.569,12.102,12.814,17.742,10.0,10.0,10.0,57.158,157.88799999999998,104.9
1,10.0,61.738,32.454,29.714,30.228,15.035,42.559,32.89,107.675,47.548,164.13400000000001,245.707
1,29.575,20.389,13.038,39.832,66.476,10.0,46.716,13.98,48.355,34.128,169.31,153.17899999999997
1,17.241,19.984,13.963,15.858,12.03,17.55,10.333,63.005,92.75,13.867,79.07600000000001,197.505
0,10.934,101.3,31.595,15.611,24.719,20.973,44.403,10.0,70.646,25.273,184.159,171.295
1,10.0,44.022,23.114,73.343,64.075,31.282,35.107,30.423,10.0,90.047,214.55399999999997,196.85899999999998
0,12.847,53.698,32.22,24.049,56.76,18.695,18.354,59.569,12.102,39.197,179.57399999999998,147.917
0,17.478,62.22,14.224,10.0,27.062,17.742,17.149,33.839,52.252,57.158,130.984,178.14
0,10.115,35.107,15.806,10.0,65.482,11.203,44.403,44.508,16.963,10.0,136.51,127.077
1,22.573,17.435,51.68,36.344,12.814,13.531,28.19,22.128,87.519,33.048,140.84599999999998,184.416
0,10.0,61.738,32.454,29.714,30.228,12.006,74.299,27.47,16.677,50.109,164.13400000000001,180.561
1,31.166,81.942,32.22,24.977,56.76,12.362,42.559,14.472,61.786,33.686,227.06499999999997,164.865
