Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Aiming,KT Rolster,ADC,46,52%,54%,176,67,179,5.3,81.40%,40.40%,16.10%,24%,119,128,-0.8,9.8,35.00%,578,33.80%,29.80%,0.5,0.51
ALL IN,Afreeca Freecs,Middle,13,46%,62%,43,20,44,4.4,63.50%,31.40%,13.00%,31%,-38,-87,-6.7,8.1,25.60%,354,21.80%,23.20%,0.57,0.15
Bdd,Gen.G,Middle,44,70%,55%,148,60,256,6.7,74.40%,27.30%,17.60%,39%,148,14,1.3,8.3,23.90%,465,27.00%,23.20%,0.55,0.23
Ben,Afreeca Freecs,Support,2,0%,100%,0,9,6,0.7,33.30%,0.00%,26.50%,0%,-223,-234,-3.5,0.7,2.00%,193,12.70%,7.40%,1.38,0.22
BeryL,DAMWON Gaming,Support,30,57%,40%,21,74,241,3.5,68.90%,5.50%,22.40%,23%,39,49,8.2,2,5.90%,157,8.50%,10.20%,1.52,0.41
bonO,KT Rolster,Jungle,41,59%,39%,55,79,271,4.1,78.90%,13.30%,22.30%,37%,82,71,2.7,5.2,14.10%,213,12.60%,16.50%,0.6,0.5
Canna,T1,Top,40,70%,58%,92,53,235,6.2,69.10%,19.50%,18.30%,25%,-13,55,-2.9,7.7,22.10%,379,21.70%,21.50%,0.46,0.18
Canyon,DAMWON Gaming,Jungle,43,51%,51%,64,100,269,3.3,67.40%,13.00%,20.40%,42%,-148,-119,0.1,5.3,14.00%,217,11.80%,16.00%,0.66,0.5
Chovy,DRX,Middle,43,67%,47%,143,65,220,5.6,64.10%,25.30%,16.00%,12%,87,182,9.2,9.3,26.50%,555,28.80%,24.20%,0.52,0.37
Chovy,DRX,Top,3,67%,33%,4,3,11,5,37.50%,10.00%,13.00%,0%,274,250,15.3,9.7,29.40%,467,25.70%,24.90%,0.5,0.46
Clid,Gen.G,Jungle,44,70%,55%,98,78,298,5.1,72.90%,18.00%,22.90%,61%,207,73,-0.3,5.4,15.50%,227,13.10%,17.60%,0.67,0.59
Cover,SeolHaeOne Prince,Middle,25,52%,56%,55,75,124,2.4,57.60%,17.70%,21.00%,8%,36,-4,2.4,8.6,26.20%,474,25.30%,23.90%,0.33,0.26
CuVee,Hanwha Life Esports,Top,45,38%,51%,93,139,168,1.9,62.10%,22.10%,24.00%,18%,69,-15,1.2,7.5,22.90%,415,24.10%,22.60%,0.52,0.22
Cuzz,T1,Jungle,35,69%,43%,53,49,245,6.1,74.30%,13.20%,18.00%,37%,35,31,0.7,5.4,13.80%,261,14.90%,16.00%,0.84,0.58
