"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akaadian","Dignitas","Jungle",8,"50%","38%",29,17,34,3.7,"64.9%","29.9%","19.3%","38%",208,-39,-3.5,5.3,"16.0%",290,"15.5%","19.0%",0.5,0.34
"Altec","Immortals","ADC",10,"50%","60%",30,15,29,3.9,"72.0%","36.6%","14.6%","10%",-289,-273,-5.8,8.9,"32.2%",480,"29.8%","28.0%",0.49,0.3
"aphromoo","Dignitas","Support",20,"45%","30%",12,51,114,2.5,"64.9%","6.2%","23.3%","15%",-141,-125,-1.9,1,"2.3%",96,"5.8%","8.4%",1.3,0.33
"Apollo","Immortals","ADC",9,"33%","67%",35,11,28,5.7,"76.8%","42.7%","11.0%","0%",-27,84,1.2,9.3,"31.6%",476,"28.7%","28.7%",0.48,0.28
"Bang","Evil Geniuses","ADC",19,"58%","47%",66,18,98,9.1,"72.6%","29.2%","9.0%","26%",-4,-35,-7.1,8.7,"30.1%",575,"30.7%","26.7%",0.7,0.39
"Biofrost","Team SoloMid","Support",18,"50%","50%",16,31,129,4.7,"69.4%","7.7%","17.5%","28%",62,61,0.3,1.1,"3.2%",119,"7.6%","9.5%",1.5,0.44
"Bjergsen","Team SoloMid","Middle",18,"50%","61%",59,28,89,5.3,"70.8%","28.2%","15.8%","28%",181,77,2.6,8,"25.4%",450,"25.8%","24.1%",0.42,0.16
"Blaber","Cloud9","Jungle",18,"94%","50%",72,31,134,6.6,"71.5%","25.0%","23.3%","50%",221,402,6.7,6,"17.9%",370,"17.8%","19.0%",0.62,0.35
"Broken Blade","Team SoloMid","Top",18,"50%","44%",51,37,90,3.8,"67.5%","24.4%","20.9%","39%",113,70,-0.3,7.1,"23.4%",432,"25.8%","22.6%",0.56,0.13
"Broxah","Team Liquid","Jungle",12,"42%","50%",18,21,65,4,"70.9%","15.4%","20.8%","17%",-119,-123,-3.5,4.7,"12.7%",194,"10.5%","15.3%",0.55,0.3
"Closer","Golden Guardians","Jungle",19,"47%","42%",30,48,88,2.5,"70.7%","18.0%","20.3%","37%",-14,10,1.1,5.1,"15.3%",183,"11.1%","17.1%",0.38,0.37
"Cody Sun","100 Thieves","ADC",20,"55%","40%",64,35,93,4.5,"68.3%","27.8%","14.9%","10%",-19,52,-2,8.9,"30.6%",480,"27.2%","26.8%",0.43,0.3
"CoreJJ","Team Liquid","Support",18,"39%","50%",2,26,120,4.7,"73.9%","1.2%","16.8%","17%",-9,123,1.6,1.1,"2.8%",108,"6.4%","8.6%",1.3,0.33
"Crown","Counter Logic Gaming","Middle",8,"13%","25%",21,26,23,1.7,"64.7%","30.9%","23.9%","13%",-110,-111,-0.8,7.5,"21.7%",365,"25.3%","22.7%",0.5,0.22
"Dardoch","Team SoloMid","Jungle",18,"50%","39%",33,54,115,2.7,"70.8%","15.8%","30.5%","67%",31,-163,-2.8,4.4,"13.3%",212,"12.7%","15.5%",0.52,0.39
"Doublelift","Team Liquid","ADC",15,"33%","60%",45,28,47,3.3,"68.1%","33.3%","20.0%","13%",134,132,4.6,10.2,"34.5%",423,"26.4%","29.4%",0.36,0.35
"Eika","Immortals","Middle",19,"42%","53%",45,34,62,3.1,"65.2%","27.4%","16.7%","16%",-72,-78,-2.2,8.6,"28.6%",409,"27.1%","25.8%",0.5,0.23
"FBI","Golden Guardians","ADC",19,"47%","32%",43,26,64,4.1,"64.1%","25.7%","11.0%","21%",121,82,9.6,9.5,"32.6%",525,"31.4%","27.4%",0.38,0.33
"Froggen","Dignitas","Middle",20,"45%","50%",54,30,89,4.8,"73.7%","27.8%","13.7%","20%",-58,33,1.2,8.5,"25.4%",533,"30.3%","24.3%",0.48,0.24
"Goldenglue","Golden Guardians","Middle",19,"47%","63%",42,45,68,2.4,"65.9%","25.1%","19.1%","11%",-12,-50,0.4,8,"24.2%",456,"27.1%","23.2%",0.59,0.23
"Grig","Dignitas","Jungle",12,"42%","50%",15,34,50,1.9,"67.0%","15.5%","26.0%","33%",-82,8,1.3,4.7,"12.5%",176,"11.2%","14.9%",0.41,0.31
"Hakuho","Immortals","Support",19,"42%","63%",9,40,105,2.9,"69.5%","5.5%","19.7%","16%",-106,-184,-3.3,1,"3.0%",108,"7.4%","9.0%",1.49,0.43
"Hauntzer","Golden Guardians","Top",19,"47%","53%",40,48,62,2.1,"61.1%","24.0%","20.3%","26%",-97,-5,-0.3,8.1,"25.8%",405,"24.5%","23.6%",0.48,0.19
"huhi","Golden Guardians","Support",7,"57%","57%",5,23,38,1.9,"68.3%","7.9%","28.0%","14%",76,-127,-0.9,1,"2.5%",126,"7.4%","9.9%",1.61,0.33
"Huni","Dignitas","Top",20,"45%","55%",27,55,81,2,"55.7%","13.9%","25.1%","15%",-65,-227,-4.3,7.8,"25.9%",391,"23.7%","23.1%",0.32,0.19
"IgNar","FlyQuest","Support",19,"53%","63%",11,39,128,3.6,"69.2%","5.5%","18.6%","11%",-4,134,-0.6,1.3,"3.4%",141,"8.5%","8.9%",1.54,0.36
"Impact","Team Liquid","Top",18,"39%","67%",34,34,61,2.8,"57.6%","20.6%","21.9%","17%",5,195,3.9,7.2,"22.0%",418,"25.7%","21.2%",0.45,0.14
"Jensen","Team Liquid","Middle",18,"39%","44%",45,27,73,4.4,"71.5%","27.3%","17.4%","6%",103,87,3.9,8.9,"27.6%",495,"29.7%","25.0%",0.38,0.16
"Jiizuke","Evil Geniuses","Middle",19,"58%","37%",66,41,83,3.6,"65.9%","29.2%","20.5%","47%",67,58,-2.8,9,"28.7%",492,"26.6%","26.1%",0.44,0.16
"Johnsun","Dignitas","ADC",20,"45%","50%",57,32,74,4.1,"67.5%","29.4%","14.6%","20%",-29,-99,0.1,9.4,"32.5%",467,"27.3%","27.6%",0.43,0.38
"Keith","Golden Guardians","Support",12,"42%","42%",7,46,50,1.2,"54.8%","6.7%","29.9%","17%",-60,-140,-6.3,0.9,"1.8%",86,"5.2%","8.0%",1.33,0.27
"Kobbe","Team SoloMid","ADC",18,"50%","67%",50,27,91,5.2,"67.5%","23.9%","15.3%","39%",44,22,0.9,9.6,"34.7%",476,"28.1%","28.3%",0.35,0.31
"Kumo","Evil Geniuses","Top",19,"58%","53%",47,49,72,2.4,"52.7%","20.8%","24.5%","16%",-206,-96,-3.4,7.6,"23.5%",405,"21.6%","21.7%",0.55,0.15
