"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",18,"33%","50%",75,51,73,2.9,"67.0%","33.9%","22.6%","28%",81,135,1.9,9.4,"29.5%",625,"34.6%","26.9%",0.56,0.23
"Alphari","Origen","Top",18,"72%","50%",57,32,80,4.3,"59.1%","24.6%","20.5%","28%",302,208,10.1,8.5,"27.8%",450,"23.3%","25.2%",0.49,0.15
"Bvoy","Misfits Gaming","ADC",18,"56%","61%",53,31,83,4.4,"65.1%","25.4%","14.8%","17%",-183,-116,0.2,9.3,"30.5%",439,"26.8%","25.3%",0.4,0.36
"Bwipo","Fnatic","Top",18,"72%","39%",60,53,111,3.2,"60.2%","21.1%","24.7%","17%",-67,31,-3.3,7,"21.8%",448,"24.2%","21.6%",0.49,0.16
"Cabochard","Team Vitality","Top",18,"11%","33%",24,52,65,1.7,"55.3%","14.9%","18.5%","11%",199,273,9.3,7.8,"23.8%",344,"22.0%","23.5%",0.51,0.13
"Caedrel","Excel Esports","Jungle",18,"39%","61%",37,56,93,2.3,"68.1%","19.4%","20.7%","33%",-152,-59,0.2,5.1,"15.6%",289,"15.8%","17.0%",0.85,0.36
"Caps","G2 Esports","ADC",18,"83%","39%",81,40,182,6.6,"74.3%","22.9%","18.2%","44%",-10,148,-7.7,8,"29.0%",627,"27.2%","24.4%",0.32,0.24
"Carzzy","MAD Lions","ADC",18,"61%","56%",72,41,90,4,"69.2%","30.8%","19.3%","22%",-93,-109,-6.1,9.1,"31.1%",509,"28.3%","26.6%",0.4,0.38
"Comp","Team Vitality","ADC",18,"11%","78%",51,49,47,2,"60.9%","31.7%","17.4%","33%",46,-16,4,10.1,"33.8%",469,"29.8%","29.1%",0.45,0.31
"Crownshot","SK Gaming","ADC",18,"22%","50%",48,33,51,3,"70.2%","34.0%","13.4%","17%",167,-37,7.8,10.1,"35.1%",465,"28.7%","29.6%",0.37,0.38
"Dan Dan","Misfits Gaming","Top",18,"56%","67%",43,44,83,2.9,"60.3%","20.6%","21.1%","28%",-63,-205,-3.4,8.4,"26.8%",398,"24.7%","24.9%",0.43,0.11
"denyk","Misfits Gaming","Support",18,"56%","39%",12,39,130,3.6,"67.9%","5.7%","18.7%","22%",-189,-48,-2.6,1,"3.5%",128,"7.7%","8.8%",1.29,0.29
"Destiny","Origen","Support",18,"72%","44%",11,40,155,4.2,"71.6%","4.7%","25.6%","17%",-22,-128,1.5,1,"2.6%",141,"7.4%","9.0%",1.49,0.41
"Dreams","FC Schalke 04 Esports","Support",18,"33%","28%",8,55,117,2.3,"56.6%","3.6%","24.3%","11%",-68,-29,-1.7,0.9,"2.2%",120,"7.0%","8.1%",1.55,0.32
"Expect","Excel Esports","Top",18,"39%","61%",36,58,85,2.1,"63.4%","18.8%","21.4%","28%",-50,-117,0.1,7.7,"24.0%",399,"21.7%","22.7%",0.5,0.15
"FEBIVEN","Misfits Gaming","Middle",18,"56%","56%",60,42,70,3.1,"62.2%","28.7%","20.1%","28%",7,14,0.6,8.4,"24.8%",407,"26.0%","24.1%",0.41,0.2
"Finn","Rogue","Top",18,"50%","50%",34,46,73,2.3,"54.3%","17.3%","24.2%","33%",-14,2,-2.3,7.7,"24.5%",386,"23.9%","21.8%",0.45,0.11
"FORG1VEN","FC Schalke 04 Esports","ADC",6,"0%","67%",9,17,21,1.8,"68.2%","20.5%","17.3%","0%",-229,-163,-5.3,9.6,"35.6%",309,"22.8%","29.5%",0.33,0.36
