"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"369","Top Esports","Top",37,"62%","57%",110,93,216,3.5,"57.4%","19.4%","19.1%","19%",216,137,5.5,7.9,"25.1%",480,"23.4%","22.4%",0.4,0.17
"705","JD Gaming","Top",20,"50%","40%",32,64,115,2.3,"62.3%","13.6%","28.6%","40%",87,19,-2.7,7.2,"20.6%",367,"21.6%","19.7%",0.46,0.16
"ADD","Bilibili Gaming","Top",8,"38%","75%",17,27,51,2.5,"73.1%","18.3%","23.9%","25%",-89,-67,-3,6.4,"19.8%",494,"21.9%","19.5%",0.48,0.25
"Aix","Vici Gaming","Jungle",31,"58%","52%",81,69,199,4.1,"69.0%","20.0%","19.3%","32%",14,117,4.1,5.5,"16.5%",282,"15.0%","18.2%",0.47,0.42
"Aliez","Victory Five","Top",28,"4%","43%",48,107,83,1.2,"50.2%","18.4%","19.5%","7%",-222,-47,-2.8,7.1,"22.7%",342,"19.6%","21.4%",0.39,0.09
"Angel","Suning","Middle",41,"46%","56%",173,88,245,4.8,"74.0%","30.6%","14.5%","22%",-127,-68,-2.8,7.8,"23.8%",539,"26.7%","23.2%",0.47,0.19
"Aodi","EDward Gaming","Top",20,"60%","45%",65,41,109,4.2,"62.4%","23.3%","19.6%","35%",20,80,-1.7,7,"21.5%",406,"23.1%","21.6%",0.35,0.21
"As6","Victory Five","Jungle",9,"11%","22%",12,37,41,1.4,"57.0%","12.9%","22.6%","56%",-233,-513,-11.6,4.5,"14.7%",187,"12.0%","16.0%",0.35,0.34
"Asura","LNG Esports","ADC",25,"44%","56%",93,71,146,3.4,"77.6%","30.2%","19.4%","20%",-141,-74,-11.4,7.8,"27.9%",585,"30.9%","25.3%",0.48,0.39
"beishang","Team WE","Jungle",41,"49%","71%",113,101,335,4.4,"75.5%","19.1%","18.1%","44%",138,238,3.4,5.5,"17.4%",311,"16.3%","19.1%",0.55,0.43
"Betty","Royal Never Give Up","ADC",38,"53%","58%",157,66,210,5.6,"73.0%","31.2%","14.9%","21%",37,42,-1.6,8.4,"30.6%",454,"26.5%","26.3%",0.54,0.49
"Bin","Suning","Top",19,"42%","47%",52,72,93,2,"58.7%","21.1%","26.3%","32%",143,-59,7.2,7.6,"24.4%",417,"21.4%","23.0%",0.31,0.13
"Biubiu","Suning","Top",22,"50%","41%",53,72,143,2.7,"61.6%","16.7%","21.7%","9%",28,-83,-6.5,6.7,"20.6%",375,"18.5%","19.8%",0.46,0.18
"bless","Dominus Esports","Jungle",4,"0%","50%",2,15,12,0.9,"82.4%","11.8%","30.6%","75%",-8,-159,-4,4.5,"12.1%",118,"8.7%","13.9%",0.47,0.29
